datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/5/2024_22:54:35,40.643173,-74.010101,5,24.7,51.3,452,0,0,0,0,0,0
11/5/2024_22:54:40,40.643097,-74.010162,6,24.4,52.5,462,1749,547,108,15,0,0
11/5/2024_22:54:46,40.642899,-74.010162,5,24.1,53.3,506,1845,561,114,14,0,0
11/5/2024_22:54:51,40.642914,-74.010071,5,23.8,54.0,514,1842,558,100,12,0,0
11/5/2024_22:54:56,40.642914,-74.010010,7,23.6,54.7,482,1761,533,82,8,0,0
11/5/2024_22:55:01,40.642914,-74.009949,7,23.3,55.5,494,1647,502,71,6,0,0
11/5/2024_22:55:06,40.642914,-74.009888,7,23.1,56.1,483,1725,524,96,5,0,0
11/5/2024_22:55:11,40.642929,-74.009827,7,22.9,56.7,485,1944,599,132,9,0,0
11/5/2024_22:55:16,40.642914,-74.009766,7,22.8,57.3,489,2031,630,131,11,0,0
11/5/2024_22:55:21,40.642914,-74.009735,7,22.6,57.8,489,2211,676,149,12,0,0
11/5/2024_22:55:26,40.642899,-74.009674,7,22.4,58.8,494,2517,773,144,5,0,0
11/5/2024_22:55:31,40.642868,-74.009613,7,22.2,59.2,501,2535,782,150,7,0,0
11/5/2024_22:55:36,40.642838,-74.009583,7,22.1,59.6,500,2142,653,130,12,1,0
11/5/2024_22:55:41,40.642731,-74.009491,7,21.9,60.1,500,1812,557,123,22,2,0
11/5/2024_22:55:46,40.642654,-74.009369,7,21.9,60.5,501,2490,777,148,14,2,0
11/5/2024_22:55:51,40.642609,-74.009186,7,21.8,61.0,502,2886,896,152,8,2,0
11/5/2024_22:55:53,40.642593,-74.009155,7,21.8,61.0,502,2439,754,140,7,1,0
11/5/2024_22:55:59,40.642639,-74.009186,6,21.8,61.6,501,2013,630,106,7,1,0
11/5/2024_22:56:04,40.642471,-74.009033,5,21.7,61.9,500,1776,551,106,5,1,1
11/5/2024_22:56:09,40.642380,-74.008972,5,21.6,62.1,500,1785,549,114,5,1,1
11/5/2024_22:56:14,40.642349,-74.008942,5,21.5,62.1,500,1893,568,106,3,1,1
11/5/2024_22:56:19,40.642380,-74.008850,7,21.5,62.2,496,1683,507,76,2,0,0
11/5/2024_22:56:24,40.642349,-74.008759,7,21.5,62.3,493,1674,505,60,1,0,0
11/5/2024_22:56:29,40.642273,-74.008698,7,21.4,62.4,491,1551,469,41,0,0,0
11/5/2024_22:56:34,40.642212,-74.008636,7,21.4,62.4,492,1569,476,44,0,0,0
11/5/2024_22:56:39,40.642166,-74.008575,7,21.4,62.5,491,1644,498,50,0,0,0
11/5/2024_22:56:44,40.642136,-74.008514,7,21.3,62.5,493,1605,485,56,0,0,0
11/5/2024_22:56:49,40.642105,-74.008453,7,21.3,62.7,493,1653,505,72,0,0,0
11/5/2024_22:56:54,40.642059,-74.008392,7,21.3,62.7,492,1446,441,71,1,1,0
11/5/2024_22:56:59,40.642014,-74.008301,7,21.4,62.8,497,1494,460,84,2,1,0
11/5/2024_22:57:04,40.641983,-74.008209,7,21.4,62.9,496,1530,463,71,3,1,0
11/5/2024_22:57:09,40.641953,-74.008148,7,21.5,62.9,495,1515,459,71,3,1,0
11/5/2024_22:57:14,40.641922,-74.008087,7,21.5,62.8,487,1476,448,63,3,1,0
11/5/2024_22:57:19,40.641876,-74.008026,7,21.5,62.8,486,1338,409,56,2,1,0
11/5/2024_22:57:24,40.641846,-74.007996,7,21.6,62.7,482,1347,418,51,2,1,0
11/5/2024_22:57:29,40.641800,-74.007935,7,21.6,62.8,480,1368,416,49,1,0,0
11/5/2024_22:57:34,40.641769,-74.007874,7,21.6,62.8,475,1362,420,50,2,0,0
11/5/2024_22:57:39,40.641739,-74.007843,7,21.7,62.8,466,1368,414,50,3,0,0
11/5/2024_22:57:44,40.641708,-74.007813,7,21.7,62.8,466,1473,453,70,3,0,0
11/5/2024_22:57:49,40.641708,-74.007782,7,21.6,62.8,466,1611,495,64,3,0,0
11/5/2024_22:57:54,40.641678,-74.007751,7,21.4,62.9,468,1608,493,76,3,0,0
11/5/2024_22:57:59,40.641647,-74.007690,7,21.3,63.1,468,1590,487,86,3,0,0
11/5/2024_22:58:04,40.641617,-74.007629,7,21.2,63.3,468,1446,439,77,2,0,0
11/5/2024_22:58:09,40.641571,-74.007599,7,21.2,63.5,464,1488,446,74,3,1,0
11/5/2024_22:58:14,40.641525,-74.007568,7,21.2,63.8,466,1365,407,56,1,1,0
11/5/2024_22:58:19,40.641510,-74.007538,7,21.2,64.0,468,1422,425,67,2,1,0
11/5/2024_22:58:24,40.641479,-74.007477,7,21.2,65.1,469,1404,422,59,2,0,0
11/5/2024_22:58:29,40.641434,-74.007416,7,21.3,66.3,469,1488,456,65,3,1,0
11/5/2024_22:58:34,40.641388,-74.007355,7,21.4,67.1,465,1542,477,71,3,1,0
11/5/2024_22:58:39,40.641357,-74.007294,7,21.5,67.6,461,1707,528,85,1,1,0
11/5/2024_22:58:44,40.641296,-74.007233,8,21.5,67.4,459,1719,534,94,4,0,0
11/5/2024_22:58:49,40.641266,-74.007141,8,21.6,67.0,460,1464,459,83,5,0,0
11/5/2024_22:58:54,40.641235,-74.007050,8,21.6,66.6,460,1383,421,81,1,0,0
11/5/2024_22:58:59,40.641205,-74.006958,8,21.6,66.4,454,1404,427,78,3,0,0
11/5/2024_22:59:04,40.641190,-74.006958,9,21.5,66.5,454,1707,525,109,3,0,0
11/5/2024_22:59:09,40.641159,-74.006958,9,21.4,66.4,454,1860,563,94,8,1,0
11/5/2024_22:59:14,40.641129,-74.006927,9,21.3,66.5,452,1551,469,69,7,1,0
11/5/2024_22:59:19,40.641098,-74.006805,9,21.3,67.0,468,1401,421,63,3,1,0
11/5/2024_22:59:24,40.641037,-74.006744,9,21.2,66.8,473,1380,429,76,3,1,0
11/5/2024_22:59:29,40.640976,-74.006714,9,21.3,66.5,471,1323,410,81,6,1,0
11/5/2024_22:59:34,40.640961,-74.006653,9,21.2,66.4,470,1317,413,87,6,1,0
11/5/2024_22:59:39,40.640945,-74.006592,9,21.2,66.1,452,1263,393,65,3,0,0
11/5/2024_22:59:44,40.640915,-74.006500,8,21.0,66.0,453,1215,380,52,1,0,0
11/5/2024_22:59:49,40.640884,-74.006439,9,21.0,66.3,453,1236,388,51,1,0,0
11/5/2024_22:59:54,40.640854,-74.006378,9,21.0,66.3,460,1329,413,77,1,0,0
11/5/2024_22:59:59,40.640823,-74.006287,8,21.0,66.3,453,1497,463,93,0,0,0
11/5/2024_23:00:04,40.640808,-74.006226,8,21.0,66.2,459,1527,471,93,1,0,0
11/5/2024_23:00:09,40.640762,-74.006195,8,21.0,66.2,461,1560,481,75,4,2,0
11/5/2024_23:00:14,40.640732,-74.006104,8,20.9,66.2,445,1533,474,61,5,2,0
11/5/2024_23:00:19,40.640717,-74.006073,9,20.9,66.4,445,1509,455,60,5,2,0
11/5/2024_23:00:24,40.640686,-74.006012,8,20.9,66.9,448,1626,480,73,7,1,0
11/5/2024_23:00:29,40.640625,-74.005981,8,21.0,67.7,449,1677,499,74,4,0,0
11/5/2024_23:00:34,40.640610,-74.005920,8,21.1,68.5,448,1740,521,77,4,0,0
11/5/2024_23:00:39,40.640564,-74.005859,9,21.2,69.2,442,1743,525,81,5,0,0
11/5/2024_23:00:44,40.640549,-74.005768,9,21.2,69.2,434,1656,500,64,3,1,0
11/5/2024_23:00:49,40.640503,-74.005707,9,21.2,68.9,437,1665,509,55,4,1,0
11/5/2024_23:00:54,40.640472,-74.005676,9,21.2,68.6,438,1716,519,71,7,0,0
11/5/2024_23:00:59,40.640411,-74.005615,9,21.2,69.1,450,1785,554,96,6,0,0
11/5/2024_23:01:04,40.640381,-74.005524,9,21.3,69.9,455,1758,549,103,3,0,0
11/5/2024_23:01:09,40.640335,-74.005463,9,21.4,70.4,456,2115,643,111,3,0,0
