datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/28/2024_18:38:27,40.78511,-73.953308,4,17.6,35.2,499,822,248,10,0,0,0
10/28/2024_18:38:32,40.785141,-73.953308,4,17.6,35.5,516,822,247,9,0,0,0
10/28/2024_18:38:37,40.785172,-73.953278,4,17.7,35.8,547,906,274,20,0,0,0
10/28/2024_18:38:42,40.785187,-73.953278,3,17.6,36,564,918,280,31,0,0,0
10/28/2024_18:38:47,40.785217,-73.953247,4,17.6,35.9,599,945,287,40,0,0,0
10/28/2024_18:38:52,40.785248,-73.953217,4,17.5,35.8,602,888,273,34,0,0,0
10/28/2024_18:38:57,40.785324,-73.953186,4,17.5,35.7,601,831,259,28,1,0,0
10/28/2024_18:39:02,40.785385,-73.953186,4,17.4,35.8,600,846,264,27,1,0,0
10/28/2024_18:39:07,40.785416,-73.953156,4,17.2,36.2,594,828,264,27,1,0,0
10/28/2024_18:39:12,40.785538,-73.953125,4,17.1,36.4,589,810,257,32,1,0,0
10/28/2024_18:39:17,40.785583,-73.953125,4,17,36.5,572,834,264,33,0,0,0
10/28/2024_18:39:22,40.78569,-73.953156,4,16.8,36.8,570,804,251,37,0,0,0
10/28/2024_18:39:27,40.785721,-73.953125,4,16.7,36.9,565,807,243,29,0,0,0
10/28/2024_18:39:32,40.785767,-73.953094,4,16.7,37,567,687,200,23,1,1,0
10/28/2024_18:39:37,40.78598,-73.953064,4,16.6,37.1,566,717,215,23,1,1,0
10/28/2024_18:39:42,40.786011,-73.953033,4,16.4,37.2,566,867,267,25,1,1,0
10/28/2024_18:39:47,40.786041,-73.953033,4,16.4,37.4,566,888,280,29,1,1,0
10/28/2024_18:39:52,40.786072,-73.953003,4,16.5,37.5,558,777,245,21,0,0,0
10/28/2024_18:39:57,40.78598,-73.952728,4,16.5,37.6,556,633,200,19,0,0,0
10/28/2024_18:40:02,40.785904,-73.952667,4,16.5,37.6,543,591,185,15,0,0,0
10/28/2024_18:40:07,40.78566,-73.952759,4,16.4,37.7,534,606,188,16,0,0,0
10/28/2024_18:40:12,40.785599,-73.952728,4,16.3,38,535,654,203,17,0,0,0
10/28/2024_18:40:17,40.785583,-73.952667,4,16.2,38.2,534,615,194,7,1,1,0
10/28/2024_18:40:22,40.785583,-73.952606,4,16.2,38.4,529,657,208,12,2,2,0
10/28/2024_18:40:27,40.785583,-73.952545,4,16,38.5,522,654,201,12,2,2,0
10/28/2024_18:40:32,40.785568,-73.952454,4,15.9,38.7,491,702,212,19,1,1,0
10/28/2024_18:40:37,40.785553,-73.952393,4,15.7,39.1,491,702,212,17,0,0,0
10/28/2024_18:40:42,40.785492,-73.952362,4,15.6,39.2,493,675,209,12,1,0,0
10/28/2024_18:40:47,40.785477,-73.952271,4,15.5,39.3,490,648,197,6,1,0,0
10/28/2024_18:40:52,40.785446,-73.952209,4,15.4,39.5,493,630,195,9,1,0,0
10/28/2024_18:40:57,40.785431,-73.952148,4,15.4,39.6,494,579,179,11,0,0,0
10/28/2024_18:41:02,40.785431,-73.952087,4,15.3,39.8,495,558,174,11,0,0,0
10/28/2024_18:41:07,40.78537,-73.952057,4,15.2,40,497,615,189,16,0,0,0
10/28/2024_18:41:12,40.785339,-73.951965,4,15.1,40.2,489,597,185,21,1,0,0
10/28/2024_18:41:17,40.785309,-73.951904,4,15,40.3,456,591,179,19,1,0,0
10/28/2024_18:41:22,40.785263,-73.951843,4,15,40.5,457,588,180,19,1,0,0
10/28/2024_18:41:27,40.785217,-73.951813,4,14.9,40.6,458,582,181,9,0,0,0
10/28/2024_18:41:32,40.785172,-73.951721,4,14.9,40.7,463,609,192,14,1,0,0
10/28/2024_18:41:37,40.785126,-73.95166,4,14.7,41,473,708,223,20,1,0,0
10/28/2024_18:41:42,40.78508,-73.951599,4,14.6,41.2,473,768,240,21,1,0,0
