datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_21:33:29,40.712479,-73.994080,4,16.4,56.2,463,393,121,13,2,0,0
11/4/2024_21:33:34,40.712555,-73.994110,4,16.3,56.7,485,660,212,32,3,0,0
11/4/2024_21:33:39,40.712479,-73.994171,4,16.1,57.1,491,720,234,34,4,0,0
11/4/2024_21:33:44,40.712311,-73.994263,4,16.1,57.5,498,837,268,37,3,0,0
11/4/2024_21:33:49,40.712280,-73.994324,4,16.0,57.9,501,1062,326,59,4,0,0
11/4/2024_21:33:54,40.712265,-73.994324,4,15.9,58.2,536,957,287,44,2,0,0
11/4/2024_21:33:59,40.712280,-73.994324,4,15.8,58.5,538,873,258,41,3,1,0
11/4/2024_21:34:04,40.712296,-73.994354,4,15.7,58.7,536,657,194,18,3,1,0
11/4/2024_21:34:09,40.712311,-73.994415,4,15.5,59.0,534,492,153,7,2,1,0
11/4/2024_21:34:14,40.712326,-73.994476,4,15.4,59.4,527,552,168,12,1,0,0
11/4/2024_21:34:19,40.712326,-73.994598,4,15.2,59.8,527,540,165,7,0,0,0
11/4/2024_21:34:24,40.712341,-73.994629,4,15.1,60.1,528,561,173,9,0,0,0
11/4/2024_21:34:29,40.712372,-73.994659,4,15.0,60.5,527,552,172,8,0,0,0
11/4/2024_21:34:34,40.712433,-73.994659,4,15.0,60.7,512,537,169,12,0,0,0
11/4/2024_21:34:39,40.712463,-73.994629,4,14.9,60.9,497,525,165,14,0,0,0
11/4/2024_21:34:44,40.712524,-73.994598,4,14.7,61.3,493,573,178,19,0,0,0
11/4/2024_21:34:49,40.712570,-73.994629,4,14.6,61.6,494,582,178,24,0,0,0
11/4/2024_21:34:54,40.712616,-73.994659,4,14.5,61.9,492,765,231,32,0,0,0
11/4/2024_21:34:59,40.712646,-73.994690,4,14.4,62.3,504,753,228,31,0,0,0
