datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/18/2024_20:37:23,40.673431,-73.932953,11,0.0,0.0,0,0,0,0,0,0,0
10/18/2024_20:37:27,40.673431,-73.932953,12,0.0,0.0,0,0,0,0,0,0,0
10/18/2024_20:37:32,40.673462,-73.932983,12,21.1,27.2,447,387,114,26,11,0,0
10/18/2024_20:37:37,40.673492,-73.933014,12,21.2,27.9,450,441,131,34,12,0,0
10/18/2024_20:37:42,40.673462,-73.933014,12,21.1,28.5,438,390,121,28,11,0,0
10/18/2024_20:37:47,40.673462,-73.933075,12,21.0,29.1,465,378,120,29,11,0,0
10/18/2024_20:37:52,40.673477,-73.933258,12,20.9,29.4,492,624,195,40,9,0,0
10/18/2024_20:37:57,40.673492,-73.933380,12,20.6,29.7,495,609,183,29,5,0,0
10/18/2024_20:38:02,40.673462,-73.933472,12,20.2,30.0,459,543,160,23,4,0,0
10/18/2024_20:38:07,40.673462,-73.933685,11,19.9,30.2,451,345,98,5,0,0,0
10/18/2024_20:38:12,40.673431,-73.933960,12,19.6,30.3,449,273,79,1,0,0,0
10/18/2024_20:38:17,40.673416,-73.934265,12,19.3,30.6,449,300,87,3,0,0,0
10/18/2024_20:38:22,40.673416,-73.934570,12,19.1,30.8,453,270,81,6,0,0,0
10/18/2024_20:38:27,40.673447,-73.934845,12,18.9,31.0,451,252,73,5,0,0,0
10/18/2024_20:38:32,40.673462,-73.935120,12,18.8,31.2,449,273,83,5,0,0,0
10/18/2024_20:38:37,40.673462,-73.935394,12,18.6,31.3,492,243,73,4,0,0,0
10/18/2024_20:38:42,40.673462,-73.935638,12,18.5,31.5,507,237,69,1,0,0,0
10/18/2024_20:38:47,40.673508,-73.935913,12,18.4,31.8,505,210,61,1,1,0,0
10/18/2024_20:38:52,40.673538,-73.936066,12,18.3,32.0,509,234,71,5,1,0,0
10/18/2024_20:38:57,40.673676,-73.936127,12,18.1,32.1,507,273,82,6,1,0,0
10/18/2024_20:39:02,40.673874,-73.936157,12,18.1,32.2,529,303,95,7,0,0,0
10/18/2024_20:39:07,40.674057,-73.936127,12,17.9,32.3,523,324,97,7,0,0,0
10/18/2024_20:39:12,40.674225,-73.936096,11,17.8,32.5,500,381,113,8,0,0,0
10/18/2024_20:39:17,40.674408,-73.936066,12,17.7,32.6,486,396,116,9,0,0,0
10/18/2024_20:39:22,40.674591,-73.936066,12,17.5,32.9,472,378,115,8,0,0,0
10/18/2024_20:39:27,40.674744,-73.936127,12,17.4,33.0,473,363,110,5,0,0,0
10/18/2024_20:39:32,40.674988,-73.936096,12,17.4,33.1,469,315,91,2,0,0,0
10/18/2024_20:39:37,40.675156,-73.936066,12,17.4,33.0,472,327,97,8,0,0,0
10/18/2024_20:39:42,40.675293,-73.936096,12,17.3,33.1,472,324,100,9,0,0,0
10/18/2024_20:39:47,40.675339,-73.936310,12,17.2,33.2,472,327,100,7,0,0,0
10/18/2024_20:39:52,40.675339,-73.936615,12,17.2,33.2,472,378,118,8,0,0,0
10/18/2024_20:39:57,40.675354,-73.936890,12,17.1,33.3,473,291,88,1,0,0,0
10/18/2024_20:40:02,40.675369,-73.937195,12,17.1,33.3,471,267,78,3,1,0,0
10/18/2024_20:40:07,40.675415,-73.937469,12,17.2,33.2,480,219,65,2,1,0,0
10/18/2024_20:40:12,40.675415,-73.937744,12,17.1,33.2,478,210,62,2,1,0,0
10/18/2024_20:40:17,40.675446,-73.938049,12,17.1,33.2,478,258,79,1,0,0,0
10/18/2024_20:40:22,40.675461,-73.938293,13,17.1,33.2,482,333,103,4,0,0,0
10/18/2024_20:40:27,40.675522,-73.938568,13,17.1,33.3,481,327,104,8,0,0,0
10/18/2024_20:40:32,40.675568,-73.938843,12,17.1,33.3,483,309,96,8,0,0,0
10/18/2024_20:40:37,40.675568,-73.939117,12,17.1,33.3,482,279,87,8,0,0,0
10/18/2024_20:40:42,40.675552,-73.939423,11,17.2,33.3,485,399,118,14,0,0,0
10/18/2024_20:40:47,40.675522,-73.939758,13,17.2,33.3,483,414,119,11,0,0,0
10/18/2024_20:40:52,40.675507,-73.940033,13,17.2,33.3,488,444,128,11,1,0,0
10/18/2024_20:40:57,40.675537,-73.940308,13,17.1,33.4,487,405,116,8,2,0,0
10/18/2024_20:41:02,40.675552,-73.940643,13,17.1,33.5,488,351,104,6,2,0,0
10/18/2024_20:41:07,40.675583,-73.940948,13,17.1,33.5,499,351,107,8,2,0,0
10/18/2024_20:41:12,40.675613,-73.941223,13,17.1,33.4,498,1173,369,51,0,0,0
10/18/2024_20:41:17,40.675613,-73.941406,13,17.1,33.4,499,2220,703,135,13,2,1
10/18/2024_20:41:22,40.675613,-73.941681,13,17.2,33.4,497,1500,467,101,14,2,1
10/18/2024_20:41:27,40.675644,-73.941986,13,17.2,33.4,491,852,258,44,7,1,0
10/18/2024_20:41:32,40.675674,-73.942291,12,17.2,33.3,490,639,191,38,1,0,0
10/18/2024_20:41:37,40.675690,-73.942627,13,17.2,33.3,489,633,190,29,0,0,0
10/18/2024_20:41:42,40.675735,-73.942932,13,17.1,33.4,490,573,172,33,0,0,0
10/18/2024_20:41:47,40.675751,-73.943268,13,17.1,33.4,472,408,119,12,0,0,0
10/18/2024_20:41:52,40.675751,-73.943573,13,17.1,33.4,462,330,100,11,0,0,0
10/18/2024_20:41:57,40.675797,-73.943878,13,17.0,33.5,454,282,85,4,0,0,0
10/18/2024_20:42:02,40.675812,-73.944183,13,17.1,33.5,455,315,90,4,0,0,0
10/18/2024_20:42:07,40.675720,-73.944397,13,17.1,33.4,455,408,122,12,3,0,0
10/18/2024_20:42:12,40.675522,-73.944458,13,17.2,33.3,455,429,127,8,3,0,0
10/18/2024_20:42:17,40.675339,-73.944458,12,17.2,33.3,455,399,120,12,4,0,0
10/18/2024_20:42:22,40.675217,-73.944458,13,17.3,33.2,456,375,117,12,4,0,0
10/18/2024_20:42:27,40.675064,-73.944489,13,17.3,33.2,458,342,107,16,1,0,0
10/18/2024_20:42:32,40.674881,-73.944519,13,17.4,33.1,464,363,116,19,0,0,0
10/18/2024_20:42:37,40.674683,-73.944550,13,17.5,33.1,470,417,128,22,0,0,0
10/18/2024_20:42:42,40.674500,-73.944519,13,17.5,33.0,470,450,135,11,0,0,0
10/18/2024_20:42:47,40.674316,-73.944519,13,17.5,32.9,472,366,106,7,0,0,0
10/18/2024_20:42:52,40.674103,-73.944489,13,17.5,33.0,484,399,119,5,1,0,0
10/18/2024_20:42:57,40.674011,-73.944611,13,17.5,32.9,494,309,94,2,1,0,0
10/18/2024_20:43:02,40.674011,-73.944824,13,17.5,32.9,493,318,101,4,1,0,0
10/18/2024_20:43:07,40.674042,-73.945099,13,17.6,32.9,491,309,90,3,1,0,0
10/18/2024_20:43:12,40.674057,-73.945343,13,17.6,32.9,493,336,95,6,1,0,0
10/18/2024_20:43:17,40.674072,-73.945587,13,17.6,32.9,492,342,96,8,1,0,0
10/18/2024_20:43:22,40.674088,-73.945831,13,17.5,32.9,492,318,94,14,1,0,0
10/18/2024_20:43:27,40.674103,-73.946075,13,17.5,32.8,493,315,97,22,4,0,0
10/18/2024_20:43:32,40.674133,-73.946320,13,17.5,32.8,492,315,99,17,4,0,0
10/18/2024_20:43:37,40.674133,-73.946564,13,17.4,32.7,492,297,93,10,4,0,0
10/18/2024_20:43:42,40.674149,-73.946777,13,17.3,32.8,492,282,86,2,0,0,0
10/18/2024_20:43:47,40.674149,-73.946991,13,17.3,32.8,491,267,78,4,0,0,0
10/18/2024_20:43:52,40.674179,-73.947144,13,17.3,32.8,478,312,91,10,0,0,0
10/18/2024_20:43:57,40.674179,-73.947266,13,17.4,32.8,479,294,84,9,0,0,0
10/18/2024_20:44:02,40.674194,-73.947327,13,17.5,32.7,472,333,93,10,0,0,0
10/18/2024_20:44:07,40.674179,-73.947540,13,17.4,32.8,475,330,94,3,0,0,0
10/18/2024_20:44:12,40.674210,-73.947784,13,17.5,32.7,477,306,86,3,0,0,0
10/18/2024_20:44:17,40.674225,-73.948029,13,17.5,32.7,485,381,120,7,0,0,0
10/18/2024_20:44:22,40.674255,-73.948303,13,17.5,32.6,483,408,129,14,0,0,0
10/18/2024_20:44:27,40.674271,-73.948578,13,17.5,32.6,487,414,126,15,0,0,0
10/18/2024_20:44:32,40.674286,-73.948883,13,17.5,32.6,484,459,138,17,0,0,0
10/18/2024_20:44:37,40.674316,-73.949158,13,17.5,32.5,492,441,131,13,0,0,0
10/18/2024_20:44:42,40.674347,-73.949432,13,17.5,32.6,492,444,141,14,0,0,0
10/18/2024_20:44:47,40.674332,-73.949677,13,17.5,32.6,491,489,149,18,0,0,0
10/18/2024_20:44:52,40.674377,-73.949890,13,17.4,32.6,488,429,130,18,1,0,0
10/18/2024_20:44:57,40.674347,-73.950073,12,17.5,32.6,488,492,146,19,1,0,0
10/18/2024_20:45:02,40.674316,-73.950317,13,17.5,32.5,490,456,139,15,1,0,0
10/18/2024_20:45:07,40.674347,-73.950623,13,17.5,32.5,500,624,197,21,0,0,0
10/18/2024_20:45:12,40.674393,-73.950897,13,17.3,32.5,500,690,218,31,1,0,0
10/18/2024_20:45:17,40.674362,-73.951111,12,17.1,32.6,514,570,179,23,2,1,0
10/18/2024_20:45:22,40.674393,-73.951416,13,16.9,32.8,511,576,181,22,2,1,0
10/18/2024_20:45:27,40.674454,-73.951752,13,16.8,32.9,506,411,127,5,1,1,0
10/18/2024_20:45:32,40.674454,-73.952026,13,16.8,32.9,502,396,118,8,0,0,0
10/18/2024_20:45:37,40.674484,-73.952271,13,16.8,32.9,498,363,108,8,1,0,0
10/18/2024_20:45:42,40.674484,-73.952545,13,16.8,32.9,500,330,100,11,1,0,0
10/18/2024_20:45:47,40.674500,-73.952820,13,16.9,32.9,498,312,96,7,1,0,0
10/18/2024_20:45:52,40.674500,-73.953094,13,16.9,32.8,494,252,81,5,0,0,0
10/18/2024_20:45:57,40.674515,-73.953339,12,17.0,32.7,495,243,78,3,0,0,0
10/18/2024_20:46:02,40.674500,-73.953491,12,17.1,32.7,493,357,111,9,0,0,0
10/18/2024_20:46:07,40.674515,-73.953583,13,17.2,32.8,495,369,116,14,1,1,0
10/18/2024_20:46:12,40.674500,-73.953613,13,17.3,32.9,495,438,137,22,1,1,0
10/18/2024_20:46:17,40.674454,-73.953613,13,17.4,32.9,514,429,136,20,2,1,0
10/18/2024_20:46:22,40.674484,-73.953613,13,17.4,32.9,516,405,130,16,2,1,0
10/18/2024_20:46:27,40.674515,-73.953674,13,17.4,32.8,518,429,135,9,1,0,0
