datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/23/2024_18:59:26,40.794296,-73.950958,6,0.0,0.0,0,0,0,0,0,0,0
10/23/2024_18:59:30,40.794449,-73.950867,7,0.0,0.0,0,0,0,0,0,0,0
10/23/2024_18:59:35,40.794479,-73.950958,7,26.1,55.4,287,2217,672,118,18,0,0
10/23/2024_18:59:41,40.794434,-73.951202,6,25.8,56.5,360,1914,596,114,26,0,0
10/23/2024_18:59:46,40.794449,-73.951202,7,25.6,57.3,433,1869,574,110,28,0,0
10/23/2024_18:59:51,40.794449,-73.951172,7,25.2,58.8,478,1962,607,93,17,0,0
10/23/2024_18:59:56,40.794525,-73.951080,7,25.1,59.3,466,2049,634,74,9,0,0
10/23/2024_19:00:01,40.794556,-73.951080,7,24.9,59.9,467,1935,599,64,2,0,0
10/23/2024_19:00:06,40.794617,-73.951080,7,24.8,60.4,458,1764,550,59,2,0,0
10/23/2024_19:00:11,40.794647,-73.951080,7,24.7,60.9,457,1659,507,57,1,0,0
10/23/2024_19:00:16,40.794678,-73.951050,7,24.7,61.4,453,1572,487,47,0,0,0
10/23/2024_19:00:21,40.794678,-73.950958,7,24.6,61.8,443,1623,507,57,0,0,0
10/23/2024_19:00:26,40.794708,-73.950928,6,24.4,62.3,421,1779,563,76,2,1,0
10/23/2024_19:00:31,40.794754,-73.950897,7,24.3,62.7,424,1824,580,72,3,1,0
10/23/2024_19:00:36,40.794800,-73.950867,7,24.1,63.1,427,1860,582,59,3,1,0
10/23/2024_19:00:41,40.794891,-73.950836,7,23.9,63.6,439,1920,592,66,1,0,0
10/23/2024_19:00:46,40.794922,-73.950867,7,23.8,64.0,436,2028,618,83,1,0,0
10/23/2024_19:00:51,40.794952,-73.950867,7,23.7,64.3,435,2028,613,88,1,0,0
10/23/2024_19:00:56,40.794998,-73.950806,7,23.7,64.5,439,2076,634,90,1,0,0
10/23/2024_19:01:01,40.795029,-73.950745,7,23.6,64.7,439,2067,642,86,1,0,0
