datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_22:00:07,40.714691,-73.994293,9,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_22:00:12,40.714661,-73.994263,9,17.8,53.9,499,0,0,0,0,0,0
11/4/2024_22:00:17,40.714645,-73.994232,9,17.6,55.6,677,732,231,53,18,1,0
11/4/2024_22:00:22,40.714661,-73.994232,10,17.5,56.8,771,729,233,60,20,1,0
11/4/2024_22:00:27,40.714691,-73.994232,11,17.3,57.5,819,735,232,41,13,0,0
11/4/2024_22:00:32,40.714722,-73.994232,11,16.9,58.3,823,636,200,28,8,0,0
11/4/2024_22:00:37,40.714767,-73.994232,11,16.6,59.1,809,678,210,22,4,0,0
11/4/2024_22:00:42,40.714813,-73.994263,11,16.4,59.9,804,765,235,26,1,0,0
11/4/2024_22:00:47,40.714859,-73.994263,11,16.3,60.4,801,708,217,24,1,0,0
11/4/2024_22:00:52,40.714920,-73.994293,10,16.1,61.0,780,801,245,27,1,0,0
11/4/2024_22:00:57,40.714981,-73.994263,10,16.0,61.5,753,792,238,29,1,0,0
11/4/2024_22:01:02,40.714996,-73.994415,11,15.9,62.0,731,792,236,21,0,0,0
11/4/2024_22:01:07,40.715057,-73.994507,11,15.7,62.5,705,723,215,19,0,0,0
