datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_22:23:56,40.717834,-73.994049,8,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_22:24:01,40.717621,-73.993896,8,17.9,53.0,244,651,203,43,17,1,0
11/4/2024_22:24:07,40.717651,-73.993835,8,17.7,54.3,371,651,204,38,16,0,0
11/4/2024_22:24:12,40.717773,-73.993927,9,17.5,55.3,475,660,208,41,15,0,0
11/4/2024_22:24:17,40.717850,-73.993927,11,17.3,56.3,556,732,218,32,10,0,0
11/4/2024_22:24:22,40.717926,-73.993927,11,16.8,57.8,561,777,235,27,3,0,0
11/4/2024_22:24:27,40.718002,-73.993927,11,16.6,58.6,561,729,224,26,1,0,0
11/4/2024_22:24:32,40.718079,-73.993958,11,16.3,59.5,575,744,230,30,0,0,0
11/4/2024_22:24:37,40.718094,-73.993958,10,16.2,60.2,572,765,240,41,1,0,0
11/4/2024_22:24:42,40.718109,-73.993896,11,16.0,60.8,571,882,275,49,2,0,0
11/4/2024_22:24:47,40.718201,-73.993866,11,15.9,61.3,568,924,279,43,2,0,0
11/4/2024_22:24:52,40.718231,-73.993835,11,15.7,62.0,550,921,282,40,2,1,0
11/4/2024_22:24:57,40.718277,-73.993835,11,15.6,62.6,551,933,289,34,3,2,0
11/4/2024_22:25:02,40.718307,-73.993774,11,15.5,63.1,550,888,276,31,2,2,0
11/4/2024_22:25:07,40.718353,-73.993774,11,15.4,63.5,545,792,249,30,1,1,0
11/4/2024_22:25:12,40.718384,-73.993744,11,15.3,63.9,536,693,218,22,0,0,0
11/4/2024_22:25:17,40.718430,-73.993713,11,15.1,64.5,530,762,237,20,1,0,0
11/4/2024_22:25:22,40.718475,-73.993683,11,15.0,64.9,524,774,242,24,1,0,0
11/4/2024_22:25:27,40.718536,-73.993683,11,14.9,65.4,524,1272,401,53,1,0,0
11/4/2024_22:25:32,40.718582,-73.993652,11,14.8,65.8,510,3078,965,211,21,0,0
11/4/2024_22:25:37,40.718628,-73.993622,11,14.7,66.2,476,2193,666,158,21,0,0
11/4/2024_22:25:42,40.718689,-73.993591,11,14.6,66.6,478,1173,346,78,11,0,0
11/4/2024_22:25:47,40.718735,-73.993561,11,14.5,67.0,480,912,264,46,9,0,0
11/4/2024_22:25:52,40.718781,-73.993530,11,14.5,67.2,483,651,192,19,2,0,0
11/4/2024_22:25:57,40.718826,-73.993500,11,14.5,67.4,490,522,154,11,1,0,0
11/4/2024_22:26:02,40.718887,-73.993469,11,14.5,67.8,504,579,168,17,2,0,0
11/4/2024_22:26:07,40.718948,-73.993439,11,14.5,67.9,506,711,215,23,2,0,0
11/4/2024_22:26:12,40.718979,-73.993408,11,14.5,68.0,515,654,201,18,2,0,0
11/4/2024_22:26:17,40.719086,-73.993439,11,14.5,68.1,534,630,199,18,2,0,0
11/4/2024_22:26:22,40.719147,-73.993408,11,14.4,68.2,548,609,192,12,1,0,0
11/4/2024_22:26:27,40.719193,-73.993378,11,14.3,68.5,551,573,181,12,4,1,1
11/4/2024_22:26:32,40.719223,-73.993347,11,14.2,68.8,532,585,182,10,3,1,1
11/4/2024_22:26:37,40.719299,-73.993347,11,14.2,68.9,534,525,164,13,3,1,1
11/4/2024_22:26:42,40.719360,-73.993347,11,14.2,69.0,546,522,155,10,0,0,0
11/4/2024_22:26:47,40.719391,-73.993317,11,14.1,69.1,552,492,144,12,0,0,0
11/4/2024_22:26:52,40.719437,-73.993286,11,14.0,69.4,547,480,138,6,0,0,0
11/4/2024_22:26:57,40.719482,-73.993225,11,14.0,69.6,548,543,159,9,0,0,0
11/4/2024_22:27:02,40.719513,-73.993134,11,13.9,69.7,546,501,152,7,1,0,0
11/4/2024_22:27:07,40.719574,-73.993134,11,13.9,69.9,547,552,172,10,1,0,0
11/4/2024_22:27:12,40.719635,-73.993103,11,13.9,69.9,547,555,175,8,2,1,0
11/4/2024_22:27:17,40.719696,-73.993073,10,13.9,70.0,545,639,195,12,1,1,0
11/4/2024_22:27:22,40.719757,-73.993042,11,13.9,70.1,523,834,253,16,1,1,0
11/4/2024_22:27:27,40.719788,-73.993011,11,13.9,70.1,516,855,253,23,0,0,0
11/4/2024_22:27:32,40.719894,-73.992981,11,14.0,70.1,507,810,245,20,0,0,0
11/4/2024_22:27:37,40.720001,-73.992950,11,13.9,70.2,506,672,202,18,0,0,0
11/4/2024_22:27:42,40.720078,-73.992920,11,13.8,70.4,508,588,178,19,0,0,0
11/4/2024_22:27:47,40.720169,-73.992889,11,13.6,70.8,507,456,138,13,1,1,0
11/4/2024_22:27:52,40.720154,-73.992859,11,13.6,71.1,506,453,138,13,1,1,0
11/4/2024_22:27:57,40.720184,-73.992859,10,13.6,71.3,506,549,159,10,1,1,0
11/4/2024_22:28:02,40.720230,-73.992828,11,13.7,71.2,513,696,204,15,3,0,0
11/4/2024_22:28:07,40.720291,-73.992859,11,13.8,71.1,542,795,235,24,4,1,0
11/4/2024_22:28:12,40.720337,-73.992859,10,13.9,71.0,542,927,278,26,4,1,0
11/4/2024_22:28:17,40.720383,-73.992798,10,14.0,70.9,542,945,283,26,1,1,0
11/4/2024_22:28:22,40.720459,-73.992767,10,14.1,70.8,573,912,280,27,0,0,0
11/4/2024_22:28:27,40.720520,-73.992737,11,14.1,71.1,643,990,302,28,0,0,0
11/4/2024_22:28:32,40.720566,-73.992706,10,14.2,71.2,808,912,281,27,0,0,0
11/4/2024_22:28:37,40.720612,-73.992676,11,14.2,71.2,897,924,282,29,1,1,1
11/4/2024_22:28:42,40.720657,-73.992676,11,14.2,71.0,901,765,233,16,2,1,1
11/4/2024_22:28:47,40.720703,-73.992615,10,14.3,70.8,899,954,283,21,2,1,1
11/4/2024_22:28:52,40.720749,-73.992584,11,14.3,70.7,865,951,292,24,2,1,1
