datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/21/2024_18:56:44,40.729828,-73.993286,6,0.0,0.0,0,0,0,0,0,0,0
10/21/2024_18:56:48,40.729797,-73.993225,5,0.0,0.0,0,0,0,0,0,0,0
10/21/2024_18:56:53,40.729736,-73.993225,5,27.8,30.9,628,2247,697,137,23,0,0
10/21/2024_18:56:58,40.729767,-73.993256,6,28.0,31.3,600,2097,651,108,24,0,0
10/21/2024_18:57:03,40.729813,-73.993347,6,27.9,31.6,600,2127,673,97,23,0,0
10/21/2024_18:57:08,40.729858,-73.993347,6,27.9,32.0,600,2133,672,99,18,0,0
10/21/2024_18:57:13,40.729858,-73.993317,6,27.8,32.2,588,2073,637,87,12,1,0
10/21/2024_18:57:18,40.729904,-73.993286,6,27.8,32.5,577,1998,601,92,7,1,0
10/21/2024_18:57:23,40.729935,-73.993347,6,27.8,32.9,566,1965,599,98,4,1,0
10/21/2024_18:57:28,40.729965,-73.993378,6,27.7,33.1,563,1986,613,101,4,1,0
10/21/2024_18:57:33,40.729980,-73.993408,6,27.7,33.4,521,1935,595,117,8,0,0
10/21/2024_18:57:38,40.729980,-73.993378,6,27.7,33.4,519,1809,558,91,7,1,0
10/21/2024_18:57:43,40.729858,-73.993317,6,27.6,34.0,553,1755,537,86,7,1,0
10/21/2024_18:57:48,40.729782,-73.993317,7,27.6,34.2,564,1947,589,72,6,0,0
10/21/2024_18:57:53,40.729675,-73.993225,8,27.5,34.1,575,2034,618,82,7,0,0
10/21/2024_18:57:58,40.729675,-73.993225,8,27.3,34.2,573,1893,574,76,4,0,0
10/21/2024_18:58:03,40.729691,-73.993256,8,27.2,34.3,572,1737,532,63,1,0,0
10/21/2024_18:58:08,40.729691,-73.993225,8,27.3,34.4,597,1602,491,61,0,0,0
10/21/2024_18:58:13,40.729706,-73.993225,8,27.2,34.3,600,1752,538,65,1,0,0
10/21/2024_18:58:18,40.729706,-73.993256,8,27.1,34.4,598,1653,510,61,2,0,0
10/21/2024_18:58:23,40.729706,-73.993256,8,26.9,34.6,598,1695,522,47,2,0,0
10/21/2024_18:58:28,40.729706,-73.993256,8,26.8,34.7,597,1671,512,46,2,0,0
10/21/2024_18:58:33,40.729691,-73.993256,8,26.8,34.8,598,1755,540,60,2,0,0
10/21/2024_18:58:38,40.729691,-73.993256,8,26.9,34.8,597,1863,586,69,2,0,0
10/21/2024_18:58:43,40.729675,-73.993256,8,26.9,34.8,642,1779,556,83,2,0,0
10/21/2024_18:58:48,40.729660,-73.993225,8,26.9,34.7,640,1782,542,76,1,0,0
10/21/2024_18:58:53,40.729675,-73.993225,8,26.9,34.6,483,1770,535,68,1,0,0
10/21/2024_18:58:58,40.729675,-73.993225,8,27.1,34.6,493,1839,557,75,0,0,0
10/21/2024_18:59:03,40.729660,-73.993256,8,27.2,34.6,501,1956,609,73,1,1,1
10/21/2024_18:59:08,40.729675,-73.993256,8,27.3,34.5,521,1845,574,65,1,1,1
10/21/2024_18:59:13,40.729660,-73.993286,8,27.3,34.4,528,1845,563,75,1,1,1
10/21/2024_18:59:18,40.729660,-73.993286,8,27.4,34.6,528,1716,512,61,1,1,1
10/21/2024_18:59:23,40.729660,-73.993286,8,27.5,34.4,529,1704,518,59,0,0,0
10/21/2024_18:59:28,40.729660,-73.993286,8,27.6,34.2,530,1629,493,47,0,0,0
10/21/2024_18:59:33,40.729660,-73.993286,8,27.7,34.1,534,1539,469,50,1,1,0
10/21/2024_18:59:38,40.729660,-73.993286,8,27.9,34.0,534,1440,440,55,1,1,0
10/21/2024_18:59:43,40.729660,-73.993286,8,27.9,33.7,533,1557,475,62,1,1,0
