temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
0,0,0,0,0,0,0,0,0
28.2311,34.1405,1196,96,30,2,0,0,0
27.7371,34.8272,1181,78,24,1,0,0,0
27.4326,35.2865,1160,78,24,1,0,0,0
27.195,35.7565,1154,45,14,0,0,0,0
26.9173,36.1715,1143,57,17,0,0,0,0
26.6903,36.5652,1135,87,24,1,0,0,0
26.4847,36.9436,1130,96,25,1,0,0,0
26.0815,37.5845,1127,93,24,1,0,0,0
25.8518,37.8546,1119,114,32,0,0,0,0
25.7343,38.1491,1114,87,24,0,0,0,0
25.5688,38.3963,1107,75,20,0,0,0,0
25.4059,38.6282,1102,60,15,1,0,0,0
25.283,38.88,1093,72,21,1,0,0,0
25.1655,39.086,1086,84,24,1,0,0,0
25.0614,39.266,1081,72,20,0,0,0,0
24.8718,39.7162,1070,57,16,0,0,0,0
24.7784,39.8215,1065,72,22,2,1,1,0
24.6929,39.8825,1063,90,26,2,1,1,0
24.6235,40.0061,1054,126,38,3,1,1,0
24.5433,40.0641,1055,105,32,1,0,0,0
24.4766,40.1633,1054,114,37,1,0,0,0
24.3965,40.2121,1052,84,26,1,0,0,0
24.3324,40.2609,1047,90,28,2,0,0,0
24.2496,40.3601,1045,75,23,2,0,0,0
24.1455,40.4684,1044,54,17,1,0,0,0
24.1107,40.5524,1042,78,25,1,0,0,0
24.06,40.5905,1041,81,26,1,0,0,0
24.0226,40.6531,1040,102,33,2,1,1,0
23.9772,40.6882,1040,69,23,1,1,1,0
23.9639,40.7446,1039,84,26,4,1,1,0
23.9238,40.824,1038,108,33,3,0,0,0
23.8998,40.8575,1038,93,28,3,0,0,0
23.8811,40.8896,1038,93,27,0,0,0,0
23.8063,40.9705,1037,84,25,0,0,0,0
23.7663,41.1047,1035,141,44,0,0,0,0
23.7529,41.1154,1034,105,34,0,0,0,0
23.7209,41.1581,1033,105,34,1,0,0,0
