datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_21:57:54,40.714172,-73.994598,6,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_21:57:58,40.714081,-73.994507,8,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_21:58:04,40.714096,-73.994537,8,17.1,55.3,322,822,251,48,20,1,0
11/4/2024_21:58:09,40.714096,-73.994537,8,16.9,56.5,414,666,205,43,14,1,0
11/4/2024_21:58:14,40.714157,-73.994568,9,16.7,57.4,474,597,184,32,9,0,0
11/4/2024_21:58:19,40.714188,-73.994598,9,16.5,58.3,512,597,182,27,6,0,0
11/4/2024_21:58:24,40.714264,-73.994720,10,16.3,59.7,506,636,183,21,3,0,0
11/4/2024_21:58:29,40.714294,-73.994751,9,16.2,60.4,506,588,170,18,1,0,0
11/4/2024_21:58:34,40.714325,-73.994751,10,16.0,60.9,515,492,139,16,0,0,0
11/4/2024_21:58:39,40.714294,-73.994720,10,15.9,61.5,514,459,134,16,0,0,0
11/4/2024_21:58:44,40.714294,-73.994690,10,15.7,62.1,556,495,153,15,0,0,0
11/4/2024_21:58:49,40.714310,-73.994720,9,15.6,62.6,555,540,168,13,1,0,0
11/4/2024_21:58:54,40.714279,-73.994690,9,15.4,63.2,542,597,184,9,1,0,0
11/4/2024_21:58:59,40.714233,-73.994598,9,15.4,63.6,543,522,158,7,2,0,0
11/4/2024_21:59:04,40.714310,-73.994446,10,15.3,63.9,545,549,172,11,1,0,0
