datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/16/2024_18:10:34,40.694534,-73.986176,5,0.0,0.0,0,0,0,0,0,0,0
10/16/2024_18:10:40,40.694550,-73.986206,6,16.3,37.1,305,225,72,19,13,1,0
10/16/2024_18:10:45,40.694534,-73.986237,6,15.8,38.6,384,357,99,18,12,1,0
10/16/2024_18:10:50,40.694565,-73.986206,6,15.4,39.5,407,381,107,13,9,0,0
10/16/2024_18:10:55,40.694580,-73.986145,6,15.1,40.3,449,354,100,9,6,0,0
10/16/2024_18:11:00,40.694580,-73.986115,6,14.9,40.9,424,291,83,7,4,0,0
10/16/2024_18:11:05,40.694382,-73.986206,7,14.3,42.3,473,243,73,6,1,0,0
10/16/2024_18:11:10,40.694351,-73.986298,7,14.1,43.0,469,204,62,6,0,0,0
10/16/2024_18:11:15,40.694290,-73.986267,7,13.9,43.5,471,186,57,5,0,0,0
10/16/2024_18:11:20,40.694214,-73.986176,7,13.7,43.9,469,195,57,5,0,0,0
10/16/2024_18:11:25,40.694168,-73.986115,7,13.5,44.4,468,174,50,1,0,0,0
10/16/2024_18:11:30,40.694122,-73.986053,7,13.4,44.8,469,141,39,1,0,0,0
10/16/2024_18:11:35,40.694061,-73.986023,7,13.2,45.3,470,171,50,1,0,0,0
10/16/2024_18:11:40,40.694000,-73.986023,7,13.1,45.7,470,174,54,1,0,0,0
10/16/2024_18:11:45,40.693970,-73.986023,7,13.0,46.2,469,201,63,2,0,0,0
10/16/2024_18:11:50,40.693954,-73.986023,7,12.8,46.6,466,207,60,1,0,0,0
10/16/2024_18:11:55,40.693909,-73.986023,7,12.7,46.9,462,258,72,2,0,0,0
10/16/2024_18:12:00,40.693817,-73.985962,7,12.5,47.3,461,231,61,1,0,0,0
10/16/2024_18:12:05,40.693802,-73.985901,6,12.4,47.6,463,228,60,2,0,0,0
10/16/2024_18:12:10,40.693863,-73.985870,7,12.2,47.9,464,177,49,1,0,0,0
10/16/2024_18:12:15,40.693909,-73.985809,7,12.1,48.2,463,225,64,3,1,0,0
10/16/2024_18:12:20,40.693970,-73.985779,7,12.0,48.4,466,207,60,2,1,0,0
10/16/2024_18:12:25,40.694016,-73.985779,7,11.9,48.7,466,222,65,5,1,0,0
10/16/2024_18:12:30,40.694031,-73.985779,7,11.8,48.8,467,126,38,3,0,0,0
10/16/2024_18:12:35,40.694061,-73.985840,7,11.7,49.0,466,156,44,3,0,0,0
10/16/2024_18:12:40,40.694077,-73.985779,7,11.7,49.1,467,138,37,0,0,0,0
10/16/2024_18:12:45,40.694092,-73.985718,7,11.7,49.3,465,165,42,0,0,0,0
10/16/2024_18:12:50,40.694153,-73.985718,7,11.6,49.5,462,147,39,0,0,0,0
10/16/2024_18:12:55,40.694199,-73.985779,7,11.6,49.6,460,144,42,0,0,0,0
10/16/2024_18:13:00,40.694244,-73.985718,7,11.6,49.6,461,147,45,3,0,0,0
10/16/2024_18:13:05,40.694290,-73.985809,8,11.7,49.6,461,123,39,3,0,0,0
10/16/2024_18:13:10,40.694321,-73.985840,7,11.7,49.6,464,186,58,3,0,0,0
10/16/2024_18:13:15,40.694336,-73.985870,7,11.7,49.6,463,183,51,3,0,0,0
