datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/18/2024_20:47:39,40.675308,-73.957672,10,0.0,0.0,0,0,0,0,0,0,0
10/18/2024_20:47:43,40.675354,-73.957794,12,0.0,0.0,0,0,0,0,0,0,0
10/18/2024_20:47:48,40.675415,-73.957916,11,20.8,26.1,231,438,138,31,11,0,0
10/18/2024_20:47:53,40.675415,-73.958130,10,20.5,26.7,302,348,108,26,12,0,0
10/18/2024_20:47:58,40.675461,-73.958344,11,20.3,27.1,427,303,97,19,10,0,0
10/18/2024_20:48:03,40.675507,-73.958588,11,20.1,27.4,482,237,77,13,7,0,0
10/18/2024_20:48:08,40.675522,-73.958832,11,19.9,27.7,443,606,188,19,1,0,0
10/18/2024_20:48:13,40.675507,-73.959137,13,19.7,28.0,425,468,141,20,1,0,0
10/18/2024_20:48:18,40.675613,-73.959381,13,19.5,28.4,446,405,118,15,1,0,0
10/18/2024_20:48:23,40.675674,-73.959595,13,19.3,28.6,462,381,112,11,1,0,0
10/18/2024_20:48:28,40.675735,-73.959839,13,19.0,29.1,476,336,102,4,0,0,0
10/18/2024_20:48:33,40.675812,-73.960144,13,18.8,29.4,475,330,105,2,0,0,0
10/18/2024_20:48:38,40.675827,-73.960327,13,18.5,29.7,475,318,99,2,0,0,0
10/18/2024_20:48:43,40.675873,-73.960571,13,18.3,30.0,476,342,104,7,0,0,0
10/18/2024_20:48:48,40.675873,-73.960846,13,18.1,30.3,474,369,113,14,0,0,0
10/18/2024_20:48:53,40.675888,-73.961060,13,18.0,30.6,473,345,107,14,0,0,0
10/18/2024_20:48:58,40.675934,-73.961243,13,17.9,30.8,474,447,136,20,1,1,0
10/18/2024_20:49:03,40.675995,-73.961456,13,17.8,31.0,475,498,149,20,2,1,0
10/18/2024_20:49:08,40.676056,-73.961670,13,17.6,31.2,476,462,133,16,2,1,0
10/18/2024_20:49:13,40.676117,-73.961914,13,17.5,31.4,477,417,122,14,2,1,0
10/18/2024_20:49:18,40.676208,-73.962189,13,17.5,31.5,480,423,124,10,0,0,0
10/18/2024_20:49:23,40.676346,-73.962402,13,17.4,31.6,479,429,131,11,0,0,0
10/18/2024_20:49:28,40.676376,-73.962646,13,17.3,31.7,409,447,136,9,0,0,0
10/18/2024_20:49:33,40.676437,-73.962860,13,17.3,31.8,415,417,126,9,0,0,0
