datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_23:01:14,40.729736,-73.987183,4,17.4,63.4,504,969,303,41,0,0,0
11/4/2024_23:01:20,40.729095,-73.987457,9,17.3,63.8,486,3012,928,142,8,1,0
11/4/2024_23:01:25,40.729080,-73.987396,9,17.0,64.2,489,3078,953,152,9,1,0
11/4/2024_23:01:30,40.729080,-73.987305,7,16.7,64.8,488,1143,359,50,2,0,0
11/4/2024_23:01:35,40.729156,-73.987122,10,16.5,65.5,505,1047,321,48,2,0,0
11/4/2024_23:01:40,40.729233,-73.987091,10,16.3,66.1,506,840,255,27,1,0,0
11/4/2024_23:01:45,40.729263,-73.987030,10,16.2,66.5,509,765,223,29,0,0,0
11/4/2024_23:01:50,40.729309,-73.987000,10,16.1,67.0,508,834,245,32,0,0,0
11/4/2024_23:01:55,40.729370,-73.986969,10,16.0,67.4,507,795,230,28,1,0,0
11/4/2024_23:02:00,40.729416,-73.986969,10,15.8,67.8,601,717,208,20,2,0,0
11/4/2024_23:02:05,40.729462,-73.986908,10,15.6,68.2,609,735,224,19,2,0,0
11/4/2024_23:02:10,40.729492,-73.986877,10,15.6,68.5,591,720,224,19,2,0,0
11/4/2024_23:02:15,40.729553,-73.986908,10,15.5,68.8,556,837,264,25,0,0,0
11/4/2024_23:02:20,40.729568,-73.986877,10,15.4,69.0,535,987,310,30,0,0,0
11/4/2024_23:02:25,40.729599,-73.986877,10,15.3,69.3,531,1068,333,34,0,0,0
11/4/2024_23:02:30,40.729706,-73.986908,9,15.3,69.6,534,990,305,30,0,0,0
11/4/2024_23:02:35,40.729797,-73.986908,10,15.2,70.1,536,936,290,31,3,0,0
11/4/2024_23:02:40,40.729843,-73.986877,10,15.1,70.3,520,828,260,18,3,0,0
11/4/2024_23:02:45,40.729889,-73.986877,10,15.0,70.5,506,795,243,23,3,0,0
11/4/2024_23:02:50,40.729935,-73.986877,10,15.0,70.7,509,774,235,19,0,0,0
11/4/2024_23:02:55,40.729965,-73.986847,9,15.0,70.8,519,744,224,14,0,0,0
11/4/2024_23:03:00,40.730026,-73.986786,10,15.1,70.8,526,807,248,18,1,0,0
11/4/2024_23:03:05,40.730087,-73.986694,10,15.1,70.6,530,894,276,16,1,0,0
11/4/2024_23:03:10,40.730148,-73.986633,10,14.9,70.8,529,915,282,24,1,0,0
11/4/2024_23:03:15,40.730209,-73.986572,10,14.9,71.0,527,975,303,27,0,0,0
11/4/2024_23:03:20,40.730255,-73.986511,10,14.7,71.2,529,1083,335,44,0,0,0
11/4/2024_23:03:25,40.730270,-73.986481,10,14.7,71.4,531,1104,343,41,0,0,0
11/4/2024_23:03:30,40.730301,-73.986481,10,14.6,71.5,532,951,297,39,0,0,0
11/4/2024_23:03:35,40.730316,-73.986450,9,14.7,71.6,529,885,275,45,1,0,0
11/4/2024_23:03:40,40.730347,-73.986420,10,14.7,71.6,530,804,249,41,2,0,0
11/4/2024_23:03:45,40.730408,-73.986420,10,14.5,71.7,529,921,283,46,2,0,0
11/4/2024_23:03:50,40.730453,-73.986389,10,14.4,72.0,528,1029,322,57,2,0,0
11/4/2024_23:03:55,40.730484,-73.986359,10,14.3,72.2,548,1077,340,51,1,0,0
11/4/2024_23:04:00,40.730484,-73.986267,10,14.2,72.5,546,945,303,42,1,0,0
11/4/2024_23:04:05,40.730515,-73.986206,10,14.1,72.8,544,840,272,44,1,0,0
11/4/2024_23:04:10,40.730530,-73.986176,10,13.9,73.1,526,702,217,23,1,0,0
11/4/2024_23:04:15,40.730560,-73.986115,10,13.7,73.6,527,543,165,17,1,1,1
11/4/2024_23:04:20,40.730591,-73.986053,10,13.7,74.0,527,510,154,10,1,1,1
11/4/2024_23:04:25,40.730637,-73.985992,10,13.5,74.3,528,474,152,11,1,1,1
11/4/2024_23:04:30,40.730698,-73.985931,10,13.3,74.8,483,528,173,10,0,0,0
11/4/2024_23:04:35,40.730713,-73.985870,10,13.3,75.2,484,513,169,12,0,0,0
11/4/2024_23:04:40,40.730728,-73.985870,10,13.2,75.4,484,591,190,16,0,0,0
11/4/2024_23:04:45,40.730789,-73.985870,9,13.2,75.5,485,519,166,13,0,0,0
11/4/2024_23:04:50,40.730896,-73.985931,10,13.2,75.6,491,588,183,12,0,0,0
11/4/2024_23:04:55,40.730957,-73.985931,10,13.2,75.6,503,642,188,12,0,0,0
11/4/2024_23:05:00,40.731003,-73.985901,10,13.1,75.8,501,534,158,9,0,0,0
11/4/2024_23:05:05,40.731049,-73.985901,10,13.0,76.2,500,522,154,18,0,0,0
11/4/2024_23:05:10,40.731110,-73.985840,10,12.9,76.5,504,489,143,10,0,0,0
11/4/2024_23:05:15,40.731155,-73.985809,10,12.8,76.8,502,480,151,13,0,0,0
11/4/2024_23:05:20,40.731201,-73.985748,10,12.7,77.1,501,561,177,14,0,0,0
11/4/2024_23:05:25,40.731216,-73.985687,10,12.8,77.2,500,555,169,13,0,0,0
11/4/2024_23:05:30,40.731247,-73.985596,10,12.9,77.0,500,537,164,16,0,0,0
11/4/2024_23:05:35,40.731293,-73.985504,10,13.0,76.7,502,624,188,18,0,0,0
11/4/2024_23:05:40,40.731339,-73.985443,9,13.2,76.4,508,561,168,12,0,0,0
11/4/2024_23:05:45,40.731369,-73.985413,9,13.3,76.2,513,603,184,15,0,0,0
11/4/2024_23:05:50,40.731384,-73.985352,10,13.4,76.0,512,606,188,23,0,0,0
11/4/2024_23:05:55,40.731430,-73.985382,10,13.5,75.8,521,609,192,30,0,0,0
11/4/2024_23:06:00,40.731491,-73.985382,10,13.5,75.6,518,696,215,32,0,0,0
11/4/2024_23:06:05,40.731552,-73.985382,10,13.5,75.6,519,801,249,34,0,0,0
11/4/2024_23:06:10,40.731598,-73.985382,10,13.5,75.6,523,1029,317,38,0,0,0
11/4/2024_23:06:15,40.731689,-73.985382,10,13.5,75.5,521,1017,318,37,0,0,0
11/4/2024_23:06:20,40.731735,-73.985382,10,13.4,75.6,518,987,308,36,0,0,0
