datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_22:30:15,40.720856,-73.991699,6,17.5,55.4,489,0,0,0,0,0,0
11/4/2024_22:30:21,40.721176,-73.992279,8,17.2,57.1,505,510,159,36,14,0,0
11/4/2024_22:30:26,40.721222,-73.992310,7,16.9,58.0,526,501,147,25,10,0,0
11/4/2024_22:30:31,40.721313,-73.992371,8,16.7,58.9,575,513,150,19,8,1,1
11/4/2024_22:30:36,40.721390,-73.992310,9,16.3,59.8,593,516,154,15,5,1,1
11/4/2024_22:30:41,40.721420,-73.992279,9,15.9,61.0,567,555,172,18,2,1,1
11/4/2024_22:30:46,40.721542,-73.992218,9,15.6,62.1,562,609,187,18,0,0,0
11/4/2024_22:30:51,40.721558,-73.992188,9,15.4,63.1,568,690,205,15,0,0,0
11/4/2024_22:30:56,40.721588,-73.992157,9,15.1,63.9,565,693,207,6,0,0,0
11/4/2024_22:31:01,40.721603,-73.992126,9,14.8,64.8,557,687,209,5,0,0,0
11/4/2024_22:31:06,40.721664,-73.992065,9,14.3,66.5,543,783,244,16,1,0,0
11/4/2024_22:31:11,40.721725,-73.992004,9,14.0,67.4,523,768,240,19,1,0,0
11/4/2024_22:31:16,40.721741,-73.991943,9,13.8,68.3,524,849,264,28,2,0,0
11/4/2024_22:31:21,40.721756,-73.991913,9,13.6,69.0,516,768,237,26,2,0,0
11/4/2024_22:31:26,40.721756,-73.991821,9,13.5,69.6,516,633,202,20,1,0,0
11/4/2024_22:31:31,40.721756,-73.991760,9,13.3,70.2,515,582,183,23,1,0,0
11/4/2024_22:31:36,40.721771,-73.991638,9,13.2,70.8,517,531,165,24,0,0,0
11/4/2024_22:31:41,40.721832,-73.991577,8,13.2,71.2,517,495,148,24,0,0,0
11/4/2024_22:31:46,40.721848,-73.991486,8,13.1,71.6,517,459,137,11,0,0,0
11/4/2024_22:31:51,40.721878,-73.991425,9,13.1,71.9,514,471,139,8,0,0,0
11/4/2024_22:31:56,40.721909,-73.991364,9,13.1,72.2,503,504,154,9,0,0,0
11/4/2024_22:32:01,40.721985,-73.991333,9,13.1,72.4,496,546,164,11,1,0,0
11/4/2024_22:32:06,40.722015,-73.991241,8,13.0,72.6,492,606,181,12,1,0,0
11/4/2024_22:32:11,40.722092,-73.991272,9,13.0,72.8,490,606,182,12,1,0,0
11/4/2024_22:32:16,40.722168,-73.991333,9,13.0,73.1,483,594,178,15,2,0,0
11/4/2024_22:32:21,40.722260,-73.991364,9,13.0,73.1,481,531,161,11,1,0,0
11/4/2024_22:32:26,40.722336,-73.991364,9,12.9,73.3,478,534,161,11,1,0,0
11/4/2024_22:32:31,40.722397,-73.991394,9,12.8,73.6,478,660,203,18,1,0,0
11/4/2024_22:32:36,40.722412,-73.991425,9,12.8,73.9,479,756,238,26,0,0,0
11/4/2024_22:32:41,40.722427,-73.991425,9,12.7,74.2,482,780,250,27,0,0,0
11/4/2024_22:32:46,40.722473,-73.991425,9,12.6,74.6,482,780,251,36,0,0,0
11/4/2024_22:32:51,40.722549,-73.991425,9,12.5,74.8,480,858,273,36,0,0,0
11/4/2024_22:32:56,40.722595,-73.991394,9,12.4,75.2,460,840,268,34,0,0,0
11/4/2024_22:33:01,40.722656,-73.991394,9,12.3,75.6,460,942,296,43,0,0,0
11/4/2024_22:33:06,40.722733,-73.991364,9,12.3,75.8,461,744,235,24,0,0,0
11/4/2024_22:33:11,40.722839,-73.991364,8,12.2,76.0,464,717,229,27,1,0,0
11/4/2024_22:33:16,40.722900,-73.991333,9,12.2,76.3,466,654,206,30,1,0,0
11/4/2024_22:33:21,40.722961,-73.991302,9,12.1,76.5,493,579,184,22,1,0,0
11/4/2024_22:33:26,40.722992,-73.991272,8,12.1,76.6,492,546,173,22,2,0,0
11/4/2024_22:33:31,40.723053,-73.991241,9,12.1,76.8,491,1026,328,46,4,0,0
11/4/2024_22:33:36,40.723099,-73.991211,9,12.1,76.9,486,2085,645,129,10,0,0
11/4/2024_22:33:41,40.723160,-73.991180,9,12.1,76.9,481,3522,1092,236,24,0,0
11/4/2024_22:33:46,40.723251,-73.991150,9,12.2,76.9,469,3765,1162,216,28,1,0
11/4/2024_22:33:51,40.723297,-73.991119,9,12.3,76.7,466,3492,1089,204,17,2,1
11/4/2024_22:33:56,40.723343,-73.991089,9,12.4,76.6,464,2793,873,170,12,2,1
11/4/2024_22:34:01,40.723373,-73.991058,9,12.4,76.5,457,1059,324,52,8,2,0
