datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/18/2024_19:50:23,40.672897,-73.979370,5,0.0,0.0,0,0,0,0,0,0,0
10/18/2024_19:50:27,40.673004,-73.979462,6,0.0,0.0,0,0,0,0,0,0,0
10/18/2024_19:50:33,40.673065,-73.979523,7,25.9,25.7,767,627,183,34,9,0,0
10/18/2024_19:50:38,40.673080,-73.979492,7,25.9,26.3,799,459,136,36,12,0,0
10/18/2024_19:50:43,40.673050,-73.979553,7,25.7,26.4,803,480,151,35,11,0,0
10/18/2024_19:50:48,40.673019,-73.979553,7,25.6,26.7,791,456,143,29,9,0,0
10/18/2024_19:50:53,40.672989,-73.979584,7,25.4,27.0,766,447,140,21,4,0,0
10/18/2024_19:50:58,40.673065,-73.979553,8,25.3,27.3,746,447,137,15,1,0,0
10/18/2024_19:51:03,40.673004,-73.979584,8,25.0,27.5,724,390,119,6,0,0,0
10/18/2024_19:51:08,40.672974,-73.979645,8,24.8,27.6,722,348,104,3,0,0,0
10/18/2024_19:51:13,40.672943,-73.979645,9,24.6,27.6,709,264,78,0,0,0,0
10/18/2024_19:51:18,40.672928,-73.979675,9,24.5,27.8,691,213,67,0,0,0,0
10/18/2024_19:51:23,40.672897,-73.979706,8,24.3,28.2,669,216,65,0,0,0,0
10/18/2024_19:51:28,40.672897,-73.979706,8,24.2,28.3,655,321,101,8,0,0,0
10/18/2024_19:51:33,40.672897,-73.979706,8,24.0,28.3,646,360,110,9,0,0,0
10/18/2024_19:51:38,40.672897,-73.979706,8,23.8,28.3,636,372,117,10,0,0,0
10/18/2024_19:51:43,40.672897,-73.979706,9,23.6,28.5,623,312,95,7,0,0,0
10/18/2024_19:51:48,40.672897,-73.979736,7,23.4,28.5,595,318,97,9,0,0,0
10/18/2024_19:51:53,40.672913,-73.979736,7,23.3,28.7,590,327,99,13,0,0,0
10/18/2024_19:51:58,40.672913,-73.979706,9,23.1,28.9,589,390,119,14,0,0,0
10/18/2024_19:52:03,40.672882,-73.979736,9,22.9,29.0,588,345,104,12,0,0,0
10/18/2024_19:52:08,40.672867,-73.979736,10,22.8,29.1,585,291,92,5,0,0,0
10/18/2024_19:52:13,40.672867,-73.979736,10,22.7,29.1,570,288,92,6,0,0,0
10/18/2024_19:52:18,40.672867,-73.979736,10,22.5,29.1,556,366,118,10,0,0,0
10/18/2024_19:52:23,40.672867,-73.979767,10,22.4,29.1,550,513,156,12,0,0,0
10/18/2024_19:52:28,40.672867,-73.979767,10,22.4,29.4,549,471,141,14,1,0,0
10/18/2024_19:52:33,40.672867,-73.979736,10,22.4,29.7,549,420,122,12,1,0,0
10/18/2024_19:52:38,40.672867,-73.979736,10,22.3,29.8,547,327,93,8,1,0,0
10/18/2024_19:52:43,40.672882,-73.979736,10,22.2,29.7,544,333,103,7,1,0,0
10/18/2024_19:52:48,40.672882,-73.979736,10,22.1,29.6,540,342,106,5,0,0,0
10/18/2024_19:52:53,40.672882,-73.979736,10,22.0,29.7,535,330,101,3,0,0,0
10/18/2024_19:52:58,40.672882,-73.979736,10,21.9,29.7,533,345,108,2,0,0,0
10/18/2024_19:53:03,40.672867,-73.979736,10,21.8,29.7,533,354,108,4,0,0,0
10/18/2024_19:53:08,40.672867,-73.979736,9,21.8,29.7,532,456,134,10,0,0,0
10/18/2024_19:53:13,40.672867,-73.979706,10,21.7,29.7,529,639,196,12,0,0,0
10/18/2024_19:53:18,40.672882,-73.979706,10,21.7,29.7,525,759,227,16,0,0,0
10/18/2024_19:53:23,40.672882,-73.979706,11,21.7,29.8,522,801,252,18,0,0,0
10/18/2024_19:53:28,40.672897,-73.979706,11,21.7,30.2,523,867,269,24,0,0,0
10/18/2024_19:53:33,40.672882,-73.979706,11,21.7,30.3,519,837,268,33,1,0,0
10/18/2024_19:53:38,40.672882,-73.979706,11,21.7,30.1,516,768,241,25,1,0,0
10/18/2024_19:53:43,40.672897,-73.979706,11,21.8,30.2,516,789,246,35,2,1,1
10/18/2024_19:53:48,40.672882,-73.979706,11,21.8,30.3,516,711,218,27,1,1,1
10/18/2024_19:53:53,40.672882,-73.979706,11,21.7,30.1,516,744,230,26,1,1,1
10/18/2024_19:53:58,40.672943,-73.979736,11,21.5,30.0,517,699,216,20,1,1,1
10/18/2024_19:54:03,40.673080,-73.979645,11,21.2,29.9,577,543,169,13,0,0,0
10/18/2024_19:54:08,40.673264,-73.979553,11,20.6,30.0,589,408,125,10,0,0,0
10/18/2024_19:54:13,40.673401,-73.979462,11,20.2,30.2,595,276,85,6,0,0,0
10/18/2024_19:54:18,40.673492,-73.979401,11,19.8,30.4,589,264,81,2,0,0,0
10/18/2024_19:54:23,40.673599,-73.979340,11,19.4,30.6,591,288,91,7,0,0,0
10/18/2024_19:54:28,40.673782,-73.979187,11,19.2,30.8,588,339,103,7,0,0,0
10/18/2024_19:54:33,40.673920,-73.979034,11,18.9,30.9,536,345,105,7,0,0,0
10/18/2024_19:54:38,40.674088,-73.978912,11,18.7,31.0,533,315,95,7,0,0,0
10/18/2024_19:54:43,40.674240,-73.978729,10,18.5,31.1,528,285,86,8,0,0,0
10/18/2024_19:54:48,40.674408,-73.978516,11,18.3,31.2,527,300,94,9,0,0,0
10/18/2024_19:54:53,40.674591,-73.978394,11,18.0,31.4,517,318,99,11,0,0,0
10/18/2024_19:54:58,40.674713,-73.978302,11,17.9,31.5,512,369,112,11,1,1,0
10/18/2024_19:55:03,40.674881,-73.978271,11,18.0,31.5,494,405,120,13,1,1,0
10/18/2024_19:55:08,40.675049,-73.978149,11,17.9,31.5,496,408,120,13,1,1,0
10/18/2024_19:55:13,40.675201,-73.978058,11,17.9,31.4,495,276,80,8,0,0,0
10/18/2024_19:55:18,40.675354,-73.977905,11,18.0,31.5,491,267,79,5,0,0,0
10/18/2024_19:55:23,40.675537,-73.977814,11,18.1,31.4,493,303,90,5,0,0,0
10/18/2024_19:55:28,40.675674,-73.977753,10,18.2,31.4,482,351,103,9,0,0,0
10/18/2024_19:55:33,40.675858,-73.977631,11,18.2,31.4,483,345,102,6,0,0,0
10/18/2024_19:55:38,40.675949,-73.977600,11,18.2,31.4,488,327,98,7,0,0,0
10/18/2024_19:55:43,40.676010,-73.977539,11,18.2,31.3,484,306,91,4,0,0,0
10/18/2024_19:55:48,40.676025,-73.977478,11,18.3,31.4,491,333,99,3,0,0,0
10/18/2024_19:55:53,40.676041,-73.977478,11,18.3,31.4,491,360,111,3,0,0,0
10/18/2024_19:55:58,40.676147,-73.977448,11,18.3,31.3,481,333,104,4,0,0,0
10/18/2024_19:56:03,40.676300,-73.977386,11,18.3,31.4,452,294,88,3,0,0,0
10/18/2024_19:56:08,40.676498,-73.977234,11,18.1,31.5,456,312,86,6,0,0,0
10/18/2024_19:56:13,40.676697,-73.977081,11,18.0,31.6,456,399,109,10,1,0,0
10/18/2024_19:56:18,40.676895,-73.976990,11,18.0,31.8,482,366,101,10,1,0,0
10/18/2024_19:56:23,40.677109,-73.976868,11,18.0,31.8,484,405,121,7,1,0,0
10/18/2024_19:56:28,40.677277,-73.976746,11,17.9,31.8,477,315,97,1,0,0,0
10/18/2024_19:56:33,40.677399,-73.976654,11,17.8,31.9,472,330,103,1,0,0,0
10/18/2024_19:56:38,40.677567,-73.976563,11,17.7,32.0,471,306,93,7,0,0,0
10/18/2024_19:56:43,40.677765,-73.976410,11,17.7,32.1,471,351,106,10,0,0,0
10/18/2024_19:56:48,40.677963,-73.976288,11,17.6,32.1,460,405,124,11,1,1,0
10/18/2024_19:56:53,40.678162,-73.976135,11,17.6,32.2,453,435,132,14,1,1,0
10/18/2024_19:56:58,40.678375,-73.976044,11,17.6,32.2,456,393,120,10,1,1,0
10/18/2024_19:57:03,40.678574,-73.975891,11,17.7,32.2,472,369,110,9,2,1,0
10/18/2024_19:57:08,40.678619,-73.975677,11,17.7,32.2,475,360,106,6,2,1,0
10/18/2024_19:57:13,40.678543,-73.975433,11,17.7,32.2,485,354,104,9,2,1,0
