datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/23/2024_18:31:15,40.782318,-73.960175,7,0.0,0.0,0,0,0,0,0,0,0
10/23/2024_18:31:20,40.782303,-73.960175,8,0.0,0.0,0,0,0,0,0,0,0
10/23/2024_18:31:25,40.782288,-73.960144,6,26.5,53.8,258,2163,665,98,22,0,0
10/23/2024_18:31:30,40.782318,-73.960083,7,26.3,54.7,279,2157,660,110,21,1,0
10/23/2024_18:31:35,40.782318,-73.960083,7,26.1,55.3,336,2088,657,114,19,2,0
10/23/2024_18:31:40,40.782318,-73.960114,8,26.0,55.8,376,1986,643,108,14,1,0
10/23/2024_18:31:45,40.782349,-73.960114,9,25.8,56.4,376,2037,643,98,8,2,0
10/23/2024_18:31:50,40.782333,-73.960114,9,25.7,56.9,374,1902,593,67,2,1,0
10/23/2024_18:31:55,40.782349,-73.960114,9,25.6,57.3,399,1920,592,71,1,1,0
10/23/2024_18:32:00,40.782333,-73.960114,8,25.4,57.9,418,1755,520,59,1,1,0
10/23/2024_18:32:05,40.782349,-73.960144,9,25.3,58.3,418,1893,560,80,0,0,0
10/23/2024_18:32:10,40.782349,-73.960144,9,24.9,59.3,415,1878,548,83,0,0,0
10/23/2024_18:32:15,40.782333,-73.960144,9,24.8,59.6,410,1770,534,68,0,0,0
10/23/2024_18:32:20,40.782333,-73.960144,9,24.6,60.0,413,1632,502,59,3,0,0
10/23/2024_18:32:25,40.782333,-73.960144,9,24.4,60.3,427,1626,509,58,4,1,0
10/23/2024_18:32:30,40.782333,-73.960144,9,24.2,60.8,434,1641,518,49,4,1,0
10/23/2024_18:32:35,40.782333,-73.960114,9,24.0,61.2,433,1638,510,50,4,1,0
10/23/2024_18:32:40,40.782333,-73.960114,9,23.8,61.7,432,1797,556,39,1,0,0
10/23/2024_18:32:45,40.782318,-73.960114,9,23.7,62.2,435,1890,581,39,1,0,0
10/23/2024_18:32:50,40.782318,-73.960114,9,23.5,62.4,435,1914,589,55,2,0,0
10/23/2024_18:32:55,40.782333,-73.960114,9,23.5,62.6,439,2010,624,74,2,0,0
10/23/2024_18:33:00,40.782333,-73.960114,9,23.5,62.8,438,1896,584,77,2,1,0
10/23/2024_18:33:05,40.782318,-73.960114,9,23.4,62.8,438,1878,579,93,2,1,0
10/23/2024_18:33:10,40.782303,-73.960114,9,23.4,63.0,436,1794,551,99,2,1,0
10/23/2024_18:33:15,40.782303,-73.960114,9,23.4,63.1,436,1854,572,104,1,0,0
10/23/2024_18:33:20,40.782318,-73.960114,9,23.4,63.2,442,1800,557,93,1,1,0
10/23/2024_18:33:25,40.782303,-73.960114,9,23.3,63.3,441,1935,590,91,2,1,0
10/23/2024_18:33:30,40.782303,-73.960114,9,23.3,63.4,440,1932,578,68,7,1,0
10/23/2024_18:33:35,40.782303,-73.960114,9,23.3,63.5,441,1815,556,74,5,0,0
10/23/2024_18:33:40,40.782303,-73.960114,9,23.3,63.5,442,1842,567,71,1,0,0
10/23/2024_18:33:45,40.782303,-73.960114,8,23.3,63.4,443,1851,571,75,0,0,0
10/23/2024_18:33:50,40.782303,-73.960083,9,23.4,63.4,441,1857,569,67,0,0,0
10/23/2024_18:33:55,40.782303,-73.960022,9,23.4,63.3,441,1752,534,69,2,0,0
10/23/2024_18:34:00,40.782333,-73.959991,9,23.3,63.3,442,1644,506,62,2,0,0
10/23/2024_18:34:05,40.782364,-73.959961,9,23.3,63.5,441,1671,511,53,3,0,0
10/23/2024_18:34:10,40.782394,-73.959930,9,23.1,63.6,447,1824,553,60,2,0,0
10/23/2024_18:34:15,40.782440,-73.959930,9,23.0,63.9,449,2001,609,58,2,0,0
10/23/2024_18:34:20,40.782486,-73.959900,9,23.0,64.0,449,2028,615,65,1,0,0
10/23/2024_18:34:25,40.782516,-73.959869,9,23.1,64.2,429,1839,552,76,5,1,1
10/23/2024_18:34:30,40.782578,-73.959839,9,23.1,64.4,431,1899,581,76,4,1,1
10/23/2024_18:34:35,40.782593,-73.959778,9,23.2,64.4,460,1848,574,78,4,1,1
10/23/2024_18:34:40,40.782623,-73.959778,9,23.2,64.3,470,1896,589,75,1,0,0
10/23/2024_18:34:45,40.782654,-73.959747,9,23.2,64.2,470,1914,600,81,0,0,0
10/23/2024_18:34:50,40.782669,-73.959717,9,23.3,64.2,470,1935,596,72,0,0,0
10/23/2024_18:34:55,40.782700,-73.959656,9,23.2,64.1,473,1935,601,60,1,0,0
10/23/2024_18:35:00,40.782745,-73.959625,9,23.2,64.0,480,2007,625,69,1,0,0
10/23/2024_18:35:05,40.782806,-73.959656,9,23.2,64.1,481,2055,637,75,1,0,0
10/23/2024_18:35:10,40.782837,-73.959625,9,23.1,64.2,481,1989,626,74,0,0,0
10/23/2024_18:35:15,40.782852,-73.959595,9,23.1,64.3,479,2382,733,91,1,0,0
10/23/2024_18:35:20,40.782898,-73.959564,9,23.1,64.3,475,3255,1001,181,9,0,0
10/23/2024_18:35:25,40.782928,-73.959534,9,23.1,64.3,473,3093,966,163,12,0,0
10/23/2024_18:35:30,40.782974,-73.959534,9,23.1,64.3,475,2622,818,114,8,0,0
10/23/2024_18:35:35,40.783005,-73.959503,9,23.1,64.2,474,1953,604,65,2,1,0
10/23/2024_18:35:40,40.783020,-73.959503,9,23.2,64.1,453,1749,538,54,1,1,0
10/23/2024_18:35:45,40.783066,-73.959503,9,23.2,64.0,455,1767,541,69,2,1,0
10/23/2024_18:35:50,40.783096,-73.959473,9,23.3,63.9,456,1794,551,82,3,1,0
10/23/2024_18:35:55,40.783112,-73.959473,9,23.3,63.9,459,1851,568,82,2,0,0
10/23/2024_18:36:00,40.783142,-73.959442,9,23.3,63.9,458,2409,752,136,9,0,0
10/23/2024_18:36:05,40.783218,-73.959381,9,23.3,63.9,455,2940,923,189,17,0,0
10/23/2024_18:36:10,40.783279,-73.959351,9,23.3,63.9,448,1962,609,112,8,0,0
10/23/2024_18:36:15,40.783325,-73.959320,9,23.3,63.8,450,1731,531,95,6,0,0
10/23/2024_18:36:20,40.783356,-73.959290,9,23.2,63.8,452,1752,533,77,4,0,0
10/23/2024_18:36:25,40.783401,-73.959259,9,23.1,63.9,452,1788,550,58,3,0,0
10/23/2024_18:36:30,40.783432,-73.959229,9,23.1,64.0,452,1893,587,55,0,0,0
10/23/2024_18:36:35,40.783478,-73.959198,8,23.2,64.0,458,1878,571,46,0,0,0
10/23/2024_18:36:40,40.783524,-73.959167,9,23.2,63.7,451,1827,551,66,2,1,0
10/23/2024_18:36:45,40.783539,-73.959137,9,23.3,63.6,447,1821,548,71,2,1,0
10/23/2024_18:36:50,40.783585,-73.959106,9,23.2,63.7,441,1884,563,73,2,1,0
10/23/2024_18:36:55,40.783615,-73.959076,9,23.1,63.8,435,1818,544,62,1,1,0
10/23/2024_18:37:00,40.783661,-73.959045,9,23.0,63.8,436,1938,589,59,0,0,0
10/23/2024_18:37:05,40.783691,-73.959015,9,23.0,64.0,438,1914,589,80,0,0,0
10/23/2024_18:37:10,40.783737,-73.959015,9,23.0,64.0,438,2004,622,78,0,0,0
10/23/2024_18:37:15,40.783768,-73.958984,9,23.1,64.0,438,1896,584,64,0,0,0
10/23/2024_18:37:20,40.783798,-73.958954,9,23.2,63.9,438,1887,584,63,1,1,0
10/23/2024_18:37:25,40.783844,-73.958923,9,23.2,63.9,440,1977,604,79,1,1,0
10/23/2024_18:37:30,40.783875,-73.958893,9,23.3,63.8,445,2142,650,96,1,1,0
10/23/2024_18:37:35,40.783905,-73.958862,9,23.2,63.8,445,2145,646,100,1,1,0
10/23/2024_18:37:40,40.783951,-73.958832,9,23.2,63.7,444,2184,658,107,1,0,0
10/23/2024_18:37:45,40.783997,-73.958801,9,23.2,63.7,444,2040,645,116,3,0,0
10/23/2024_18:37:50,40.784042,-73.958771,9,23.3,63.6,435,1830,587,84,3,0,0
10/23/2024_18:37:55,40.784088,-73.958740,9,23.2,63.5,437,1743,550,75,2,0,0
10/23/2024_18:38:00,40.784119,-73.958710,9,23.2,63.7,438,1845,580,81,2,0,0
10/23/2024_18:38:05,40.784164,-73.958679,9,23.0,63.8,438,1869,580,79,5,0,0
10/23/2024_18:38:10,40.784225,-73.958679,9,22.9,64.3,443,2004,613,89,5,0,0
10/23/2024_18:38:15,40.784271,-73.958649,9,22.7,64.4,444,1959,601,84,5,0,0
10/23/2024_18:38:20,40.784317,-73.958618,9,22.6,64.6,444,1845,568,85,4,0,0
