datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_22:21:43,40.716309,-73.995209,7,17.6,54.7,435,534,162,25,7,3,0
11/4/2024_22:21:48,40.716385,-73.995056,8,17.4,55.3,455,465,141,15,4,3,0
11/4/2024_22:21:53,40.716415,-73.994904,8,17.3,55.9,466,432,129,8,0,0,0
11/4/2024_22:21:58,40.716461,-73.994751,8,17.1,56.6,514,438,133,5,0,0,0
11/4/2024_22:22:03,40.716507,-73.994690,10,16.9,57.8,512,474,149,2,0,0,0
11/4/2024_22:22:08,40.716568,-73.994659,10,16.8,58.2,511,669,213,34,4,0,0
11/4/2024_22:22:13,40.716629,-73.994568,10,16.6,58.8,510,633,203,41,2,0,0
11/4/2024_22:22:18,40.716660,-73.994507,10,16.4,59.5,511,621,190,33,1,0,0
11/4/2024_22:22:23,40.716751,-73.994537,11,16.3,60.0,511,645,197,33,1,0,0
11/4/2024_22:22:28,40.716812,-73.994537,11,16.2,60.4,501,702,212,41,1,0,0
11/4/2024_22:22:33,40.716858,-73.994537,11,16.2,60.8,496,744,229,44,3,0,0
11/4/2024_22:22:38,40.716904,-73.994507,11,16.1,61.1,499,807,245,45,4,0,0
11/4/2024_22:22:43,40.716980,-73.994537,11,16.0,61.4,499,768,230,33,4,1,0
11/4/2024_22:22:48,40.717041,-73.994476,11,15.8,61.8,499,735,222,35,3,1,0
11/4/2024_22:22:53,40.717087,-73.994415,9,15.8,62.3,498,657,204,33,2,1,0
11/4/2024_22:22:58,40.717163,-73.994415,9,15.6,62.7,490,594,193,31,2,1,0
11/4/2024_22:23:03,40.717209,-73.994354,9,15.5,63.0,483,576,184,24,1,0,0
11/4/2024_22:23:08,40.717270,-73.994324,10,15.4,63.4,481,537,172,14,1,0,0
11/4/2024_22:23:13,40.717316,-73.994263,11,15.2,63.9,491,546,171,10,1,0,0
11/4/2024_22:23:18,40.717377,-73.994232,11,15.1,64.2,493,540,166,10,0,0,0
11/4/2024_22:23:23,40.717422,-73.994232,11,15.0,64.6,488,648,204,23,0,0,0
11/4/2024_22:23:28,40.717484,-73.994202,11,14.8,65.0,477,774,244,33,1,1,0
