datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/23/2024_19:17:57,40.800186,-73.954712,9,0.0,0.0,0,0,0,0,0,0,0
10/23/2024_19:18:03,40.799988,-73.954956,9,27.4,52.5,183,2184,665,80,17,1,0
10/23/2024_19:18:08,40.800018,-73.954926,9,27.4,53.4,362,2100,633,94,19,1,0
10/23/2024_19:18:13,40.800034,-73.954956,9,27.3,53.9,493,2022,602,102,18,1,0
10/23/2024_19:18:18,40.800034,-73.954987,9,27.0,54.5,535,1947,594,91,14,1,0
10/23/2024_19:18:23,40.800034,-73.954987,9,26.6,55.3,525,1725,526,74,7,1,0
10/23/2024_19:18:28,40.800034,-73.954987,9,26.3,56.1,582,1692,516,60,3,1,0
10/23/2024_19:18:33,40.800003,-73.954987,9,26.0,57.3,577,1707,529,61,1,0,0
10/23/2024_19:18:38,40.800003,-73.954987,9,25.7,57.9,574,1785,557,64,2,1,0
10/23/2024_19:18:43,40.800034,-73.954987,9,25.5,58.5,572,1890,597,86,4,1,0
10/23/2024_19:18:48,40.800064,-73.955017,9,25.3,59.0,573,1746,534,81,4,1,0
10/23/2024_19:18:53,40.800079,-73.955017,9,25.0,59.6,524,1761,543,84,4,1,0
10/23/2024_19:18:58,40.800064,-73.955048,9,24.9,60.2,513,1743,530,64,1,0,0
10/23/2024_19:19:03,40.800049,-73.955078,9,24.7,60.7,519,1869,562,61,3,0,0
10/23/2024_19:19:08,40.800018,-73.955109,9,24.5,61.1,519,1878,559,71,3,0,0
10/23/2024_19:19:13,40.799988,-73.955139,9,24.5,61.5,504,1824,539,65,3,0,0
10/23/2024_19:19:18,40.799957,-73.955170,8,24.5,61.8,503,1839,542,69,0,0,0
10/23/2024_19:19:23,40.799927,-73.955170,9,24.4,61.9,500,1782,539,66,1,0,0
10/23/2024_19:19:28,40.799881,-73.955200,9,24.3,62.2,499,1866,570,64,2,0,0
10/23/2024_19:19:33,40.799820,-73.955200,9,24.3,62.5,508,1896,585,77,2,0,0
10/23/2024_19:19:38,40.799789,-73.955200,9,24.1,62.7,499,1887,576,62,1,0,0
10/23/2024_19:19:43,40.799744,-73.955231,9,24.0,62.9,490,1869,571,59,0,0,0
10/23/2024_19:19:48,40.799698,-73.955292,9,23.9,63.2,492,1806,559,61,0,0,0
10/23/2024_19:19:53,40.799622,-73.955322,9,23.8,63.7,487,1866,582,56,0,0,0
10/23/2024_19:19:58,40.799576,-73.955383,9,23.5,64.0,508,1908,581,71,0,0,0
10/23/2024_19:20:03,40.799576,-73.955383,9,23.5,64.4,510,2037,616,88,6,0,0
10/23/2024_19:20:08,40.799561,-73.955353,9,23.6,64.6,510,1899,582,90,9,0,0
10/23/2024_19:20:13,40.799561,-73.955353,9,23.7,64.6,498,1995,614,79,10,0,0
10/23/2024_19:20:18,40.799561,-73.955353,9,23.7,64.6,492,1983,612,59,6,0,0
10/23/2024_19:20:23,40.799561,-73.955353,9,23.8,64.6,493,1782,552,47,1,0,0
10/23/2024_19:20:28,40.799591,-73.955322,9,23.8,64.6,492,1866,560,38,1,0,0
10/23/2024_19:20:33,40.799591,-73.955322,9,23.9,64.7,490,1668,504,38,0,0,0
