datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/5/2024_22:50:50,40.644714,-74.012451,6,23.6,53.9,409,1491,462,89,27,4,2
11/5/2024_22:50:55,40.644608,-74.012451,7,23.6,54.6,522,1713,541,102,32,6,0
11/5/2024_22:51:01,40.644608,-74.012360,6,23.5,55.2,549,1647,525,94,32,6,0
11/5/2024_22:51:06,40.644592,-74.012299,6,23.5,56.1,554,1560,492,80,23,4,0
11/5/2024_22:51:11,40.644577,-74.012299,7,23.4,56.8,552,1458,447,59,7,0,0
11/5/2024_22:51:16,40.644562,-74.012238,8,23.4,57.4,547,1455,440,45,0,0,0
11/5/2024_22:51:21,40.644562,-74.012207,8,23.3,57.9,546,1422,425,46,0,0,0
11/5/2024_22:51:26,40.644547,-74.012146,8,23.3,58.4,544,1365,413,56,0,0,0
11/5/2024_22:51:31,40.644501,-74.012115,8,23.2,58.6,541,1401,412,60,0,0,0
11/5/2024_22:51:36,40.644485,-74.012085,8,23.2,58.8,532,1299,388,53,0,0,0
11/5/2024_22:51:41,40.644440,-74.012054,7,23.1,58.9,529,1311,400,42,0,0,0
11/5/2024_22:51:46,40.644363,-74.012054,7,23.0,59.0,529,1326,396,51,4,0,0
11/5/2024_22:51:51,40.644333,-74.012054,6,22.9,59.1,531,1440,441,61,4,0,0
11/5/2024_22:51:56,40.644287,-74.012024,7,22.7,59.4,527,1605,484,77,5,0,0
11/5/2024_22:52:01,40.644257,-74.011993,6,22.6,59.6,527,1800,551,88,9,0,0
11/5/2024_22:52:06,40.644226,-74.011841,7,22.4,59.7,525,1707,525,81,6,0,0
11/5/2024_22:52:11,40.644180,-74.011780,7,22.3,59.9,524,1638,513,78,5,0,0
11/5/2024_22:52:16,40.644150,-74.011780,5,22.2,60.1,524,1551,483,71,5,0,0
11/5/2024_22:52:21,40.644089,-74.011719,6,22.0,60.3,531,1419,444,55,1,0,0
11/5/2024_22:52:26,40.644043,-74.011688,7,21.9,60.5,530,1434,447,55,1,0,0
11/5/2024_22:52:31,40.643967,-74.011627,7,21.8,60.7,527,1323,405,49,1,0,0
11/5/2024_22:52:36,40.643906,-74.011536,7,21.8,60.9,527,1458,440,49,1,1,0
11/5/2024_22:52:41,40.643875,-74.011475,7,21.7,61.0,528,1494,444,48,2,2,0
11/5/2024_22:52:46,40.643890,-74.011444,7,21.8,61.1,525,1443,443,61,3,2,0
11/5/2024_22:52:51,40.643906,-74.011414,7,21.8,61.3,516,1452,457,56,7,2,0
11/5/2024_22:52:56,40.643860,-74.011383,7,21.8,61.5,525,1401,444,59,5,0,0
11/5/2024_22:53:01,40.643829,-74.011322,7,21.8,61.5,524,1389,438,50,4,0,0
11/5/2024_22:53:06,40.643784,-74.011261,7,21.7,61.5,524,1287,405,44,3,0,0
11/5/2024_22:53:11,40.643707,-74.011200,7,21.6,61.6,523,1194,376,41,1,1,0
11/5/2024_22:53:16,40.643677,-74.011169,7,21.6,61.6,523,1137,364,48,1,1,0
11/5/2024_22:53:21,40.643631,-74.011108,7,21.5,61.8,523,996,321,45,1,1,0
11/5/2024_22:53:26,40.643585,-74.011047,7,21.5,61.9,522,1137,352,45,0,0,0
11/5/2024_22:53:31,40.643539,-74.011017,7,21.4,61.9,515,1230,373,43,0,0,0
11/5/2024_22:53:36,40.643494,-74.010986,7,21.4,62.0,514,1314,391,47,0,0,0
11/5/2024_22:53:41,40.643448,-74.010925,7,21.4,62.1,540,1227,366,40,0,0,0
11/5/2024_22:53:46,40.643417,-74.010834,7,21.4,62.1,537,1155,347,41,0,0,0
11/5/2024_22:53:51,40.643387,-74.010742,7,21.3,62.1,457,1182,364,37,0,0,0
11/5/2024_22:53:56,40.643372,-74.010681,7,21.3,62.2,457,1311,403,53,3,1,0
11/5/2024_22:54:01,40.643295,-74.010620,7,21.3,62.2,470,1386,423,65,4,1,0
11/5/2024_22:54:06,40.643265,-74.010559,7,21.2,62.3,474,1545,473,81,4,1,0
11/5/2024_22:54:11,40.643219,-74.010529,7,21.2,62.3,482,1560,459,83,5,1,0
