datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/5/2024_23:01:26,40.640060,-74.005127,6,0.0,0.0,0,0,0,0,0,0,0
11/5/2024_23:01:31,40.640015,-74.005096,6,25.2,57.0,423,0,0,0,0,0,0
11/5/2024_23:01:36,40.639984,-74.005005,7,24.9,57.5,395,2739,843,148,23,0,0
11/5/2024_23:01:41,40.639954,-74.004913,6,24.7,57.8,452,2094,638,106,21,0,0
11/5/2024_23:01:46,40.639938,-74.004822,9,24.4,58.1,463,1701,524,89,13,1,0
11/5/2024_23:01:51,40.639923,-74.004791,9,24.2,58.6,470,1797,552,103,3,1,0
11/5/2024_23:01:56,40.639938,-74.004761,9,23.9,59.0,464,2442,746,130,12,1,0
11/5/2024_23:02:01,40.639908,-74.004700,9,23.7,59.3,475,2961,936,163,19,1,0
11/5/2024_23:02:06,40.639877,-74.004639,9,23.5,59.8,483,2394,751,128,13,2,1
11/5/2024_23:02:11,40.639862,-74.004578,8,23.3,60.3,492,1923,600,92,6,2,1
11/5/2024_23:02:16,40.639847,-74.004547,9,23.2,60.6,494,1626,508,66,2,1,1
11/5/2024_23:02:21,40.639816,-74.004517,9,23.0,60.8,502,1554,483,55,3,1,1
11/5/2024_23:02:26,40.639786,-74.004456,9,22.8,61.2,508,1530,472,56,2,1,1
11/5/2024_23:02:31,40.639740,-74.004425,9,22.6,61.8,513,1605,487,61,6,2,1
11/5/2024_23:02:36,40.639725,-74.004364,8,22.4,62.0,515,1431,431,55,4,1,0
11/5/2024_23:02:41,40.639694,-74.004333,9,22.3,62.5,515,1365,412,61,4,1,0
11/5/2024_23:02:46,40.639664,-74.004272,8,22.3,62.7,514,1242,373,51,3,0,0
11/5/2024_23:02:51,40.639633,-74.004242,7,22.3,62.9,504,1185,358,43,1,1,0
11/5/2024_23:02:56,40.639618,-74.004181,9,22.3,62.9,488,1251,384,47,2,2,1
11/5/2024_23:03:01,40.639587,-74.004120,8,22.3,63.3,489,1257,389,49,2,2,1
11/5/2024_23:03:06,40.639557,-74.004059,9,22.3,63.6,481,1290,388,38,1,1,1
11/5/2024_23:03:11,40.639511,-74.003998,9,22.3,63.8,480,1227,366,47,1,1,1
11/5/2024_23:03:16,40.639481,-74.003967,9,22.3,63.8,479,1227,370,54,1,1,0
11/5/2024_23:03:21,40.639465,-74.003906,9,22.3,63.8,479,1275,396,56,1,1,0
11/5/2024_23:03:26,40.639420,-74.003845,9,22.2,63.7,480,1332,423,55,3,1,0
11/5/2024_23:03:31,40.639374,-74.003754,9,22.2,63.7,480,1428,452,63,2,0,0
11/5/2024_23:03:36,40.639313,-74.003723,9,22.2,63.9,481,1434,446,64,2,0,0
11/5/2024_23:03:41,40.639297,-74.003632,9,22.3,64.2,480,1359,422,61,2,0,0
11/5/2024_23:03:46,40.639252,-74.003601,9,22.3,64.5,481,1365,415,48,1,1,0
11/5/2024_23:03:51,40.639221,-74.003601,9,22.3,64.7,481,1611,485,55,1,1,0
11/5/2024_23:03:56,40.639191,-74.003540,9,22.2,64.6,478,1659,504,62,1,1,0
11/5/2024_23:04:01,40.639145,-74.003418,9,22.1,64.4,464,1710,519,80,0,0,0
11/5/2024_23:04:06,40.639130,-74.003387,9,22.1,64.5,465,1536,460,72,1,1,0
11/5/2024_23:04:11,40.639099,-74.003326,9,22.1,64.5,465,1482,442,66,1,1,0
11/5/2024_23:04:16,40.639069,-74.003265,9,22.0,64.5,461,1362,418,56,2,1,0
11/5/2024_23:04:21,40.639069,-74.003235,9,21.9,64.7,462,1365,423,56,2,1,0
11/5/2024_23:04:26,40.639038,-74.003174,9,21.8,64.7,464,1167,363,50,1,0,0
11/5/2024_23:04:31,40.639008,-74.003113,9,21.7,64.7,462,1113,342,45,0,0,0
